file_id,event_id,timestamp,tensor_shape,nan_percentage,center_lat,center_lon,gt_match_distance_min,pattern_label,validation_status
amphan_2020_20200516T000000Z.npz,amphan_2020,2020-05-16T00:00:00Z,"(2, 286, 214)",0.0,10.4,87.0,0.0,unlabeled,PASS
amphan_2020_20200516T030000Z.npz,amphan_2020,2020-05-16T03:00:00Z,"(2, 286, 214)",0.0,10.7,86.5,0.0,unlabeled,PASS
amphan_2020_20200516T060000Z.npz,amphan_2020,2020-05-16T06:00:00Z,"(2, 286, 214)",0.0,10.9,86.3,0.0,unlabeled,PASS
amphan_2020_20200516T090000Z.npz,amphan_2020,2020-05-16T09:00:00Z,"(2, 286, 214)",0.0,10.9,86.3,0.0,unlabeled,PASS
amphan_2020_20200516T120000Z.npz,amphan_2020,2020-05-16T12:00:00Z,"(2, 286, 214)",0.0,10.9,86.3,0.0,unlabeled,PASS
amphan_2020_20200516T150000Z.npz,amphan_2020,2020-05-16T15:00:00Z,"(2, 286, 214)",0.0,11.0,86.2,0.0,unlabeled,PASS
amphan_2020_20200516T180000Z.npz,amphan_2020,2020-05-16T18:00:00Z,"(2, 286, 214)",0.0,11.1,86.1,0.0,unlabeled,PASS
amphan_2020_20200516T210000Z.npz,amphan_2020,2020-05-16T21:00:00Z,"(2, 286, 214)",0.0,11.3,86.1,0.0,unlabeled,PASS
amphan_2020_20200517T000000Z.npz,amphan_2020,2020-05-17T00:00:00Z,"(2, 286, 214)",0.0,11.4,86.0,0.0,unlabeled,PASS
amphan_2020_20200517T030000Z.npz,amphan_2020,2020-05-17T03:00:00Z,"(2, 286, 214)",0.0,11.4,86.0,0.0,unlabeled,PASS
amphan_2020_20200517T060000Z.npz,amphan_2020,2020-05-17T06:00:00Z,"(2, 286, 214)",0.0,11.5,86.0,0.0,unlabeled,PASS
amphan_2020_20200517T090000Z.npz,amphan_2020,2020-05-17T09:00:00Z,"(2, 286, 214)",0.0,11.7,86.0,0.0,unlabeled,PASS
amphan_2020_20200517T120000Z.npz,amphan_2020,2020-05-17T12:00:00Z,"(2, 286, 214)",0.0,12.0,86.0,0.0,unlabeled,PASS
amphan_2020_20200517T150000Z.npz,amphan_2020,2020-05-17T15:00:00Z,"(2, 286, 214)",0.0,12.8,86.2,0.0,unlabeled,PASS
amphan_2020_20200517T180000Z.npz,amphan_2020,2020-05-17T18:00:00Z,"(2, 286, 214)",0.0,12.5,86.1,0.0,unlabeled,PASS
amphan_2020_20200517T210000Z.npz,amphan_2020,2020-05-17T21:00:00Z,"(2, 286, 214)",0.0,12.9,86.4,0.0,unlabeled,PASS
