event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
aila_2009,2009-05-22T18:00:00Z,16.9,88.8, , 
aila_2009,2009-05-22T21:00:00Z,16.7,88.8, , 
aila_2009,2009-05-23T00:00:00Z,16.7,88.8, , 
aila_2009,2009-05-23T03:00:00Z,16.8,88.9, , 
aila_2009,2009-05-23T06:00:00Z,16.5,88.0,25,998
aila_2009,2009-05-23T09:00:00Z,16.4,87.9, , 
aila_2009,2009-05-23T12:00:00Z,16.5,88.0,25,994
aila_2009,2009-05-23T15:00:00Z,16.8,88.2, , 
aila_2009,2009-05-23T18:00:00Z,17.0,88.5,25,996
aila_2009,2009-05-23T21:00:00Z,16.8,88.5, , 
aila_2009,2009-05-24T00:00:00Z,17.0,88.5,25,996
aila_2009,2009-05-24T03:00:00Z,18.0,88.5,30,992
aila_2009,2009-05-24T06:00:00Z,18.0,88.5,30,988
aila_2009,2009-05-24T09:00:00Z,18.0,88.5,30,986
aila_2009,2009-05-24T12:00:00Z,18.5,88.5,35,986
aila_2009,2009-05-24T15:00:00Z,19.0,88.5,35,986
aila_2009,2009-05-24T18:00:00Z,19.0,88.5,35,986
aila_2009,2009-05-24T21:00:00Z,20.0,88.0,40,984
aila_2009,2009-05-25T00:00:00Z,20.0,88.0,40,980
aila_2009,2009-05-25T03:00:00Z,20.5,88.0,50,978
aila_2009,2009-05-25T06:00:00Z,21.5,88.0,55,974
aila_2009,2009-05-25T09:00:00Z,22.0,88.0,60,968
aila_2009,2009-05-25T12:00:00Z,22.5,88.0,50,970
aila_2009,2009-05-25T15:00:00Z,23.0,88.0,45,978
aila_2009,2009-05-25T18:00:00Z,23.5,88.0,40,980
aila_2009,2009-05-25T21:00:00Z,24.0,88.0,35,981
aila_2009,2009-05-26T00:00:00Z,25.0,88.0,30,982
aila_2009,2009-05-26T03:00:00Z,25.5,88.0,25,988
aila_2009,2009-05-26T06:00:00Z,27.0,88.5,20,992
