event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
asani_2022,2022-05-05T12:00:00Z,7.1,94.5, , 
asani_2022,2022-05-05T15:00:00Z,7.2,94.2, , 
asani_2022,2022-05-05T18:00:00Z,7.4,94.0, , 
asani_2022,2022-05-05T21:00:00Z,7.6,93.8, , 
asani_2022,2022-05-06T00:00:00Z,7.7,93.6, , 
asani_2022,2022-05-06T03:00:00Z,7.8,93.4, , 
asani_2022,2022-05-06T06:00:00Z,7.9,93.3, , 
asani_2022,2022-05-06T09:00:00Z,8.0,93.1, , 
asani_2022,2022-05-06T12:00:00Z,8.2,92.9, , 
asani_2022,2022-05-06T15:00:00Z,8.3,92.7, , 
asani_2022,2022-05-06T18:00:00Z,8.5,92.4, , 
asani_2022,2022-05-06T21:00:00Z,8.9,91.9, , 
asani_2022,2022-05-07T00:00:00Z,9.2,91.5, , 
asani_2022,2022-05-07T03:00:00Z,9.3,91.3, , 
asani_2022,2022-05-07T06:00:00Z,9.4,91.3,25,996
asani_2022,2022-05-07T09:00:00Z,9.9,90.8, , 
asani_2022,2022-05-07T12:00:00Z,10.3,90.4,30,995
asani_2022,2022-05-07T15:00:00Z,10.6,90.2, , 
asani_2022,2022-05-07T18:00:00Z,10.8,90.1,30,994
asani_2022,2022-05-07T21:00:00Z,11.1,89.7, , 
asani_2022,2022-05-08T00:00:00Z,11.3,89.3,35,992
asani_2022,2022-05-08T03:00:00Z,11.5,89.0,40,990
asani_2022,2022-05-08T06:00:00Z,11.8,88.7,45,988
asani_2022,2022-05-08T09:00:00Z,12.0,88.4,45,988
asani_2022,2022-05-08T12:00:00Z,12.3,88.2,50,986
asani_2022,2022-05-08T15:00:00Z,12.7,87.8,50,986
asani_2022,2022-05-08T18:00:00Z,13.1,87.5,55,984
asani_2022,2022-05-08T21:00:00Z,13.5,87.1,55,984
asani_2022,2022-05-09T00:00:00Z,13.9,86.8,55,983
asani_2022,2022-05-09T03:00:00Z,14.2,86.5,55,982
asani_2022,2022-05-09T06:00:00Z,14.6,86.3,55,982
asani_2022,2022-05-09T09:00:00Z,14.7,86.0,55,982
asani_2022,2022-05-09T12:00:00Z,14.9,85.8,55,982
asani_2022,2022-05-09T15:00:00Z,15.0,85.5,55,982
asani_2022,2022-05-09T18:00:00Z,15.1,85.2,55,982
asani_2022,2022-05-09T21:00:00Z,15.2,84.9,55,982
asani_2022,2022-05-10T00:00:00Z,15.3,84.6,55,982
asani_2022,2022-05-10T03:00:00Z,15.4,84.0,55,984
asani_2022,2022-05-10T06:00:00Z,15.5,83.5,55,984
asani_2022,2022-05-10T09:00:00Z,15.6,83.1,55,984
asani_2022,2022-05-10T12:00:00Z,15.7,82.8,50,984
asani_2022,2022-05-10T15:00:00Z,15.8,82.4,50,985
asani_2022,2022-05-10T18:00:00Z,15.9,82.1,50,986
asani_2022,2022-05-10T21:00:00Z,16.0,81.9,45,986
asani_2022,2022-05-11T00:00:00Z,16.1,81.8,45,988
asani_2022,2022-05-11T03:00:00Z,16.1,81.6,45,988
asani_2022,2022-05-11T06:00:00Z,16.2,81.5,40,990
asani_2022,2022-05-11T09:00:00Z,16.2,81.4,40,990
asani_2022,2022-05-11T12:00:00Z,16.3,81.4,30,992
asani_2022,2022-05-11T15:00:00Z,16.3,81.3,30,993
asani_2022,2022-05-11T18:00:00Z,16.3,81.2,30,994
asani_2022,2022-05-11T21:00:00Z,16.3,81.1, , 
asani_2022,2022-05-12T00:00:00Z,16.2,80.9,25,996
asani_2022,2022-05-12T03:00:00Z,15.2,80.2, , 
asani_2022,2022-05-12T06:00:00Z,15.1,80.1, , 
asani_2022,2022-05-12T09:00:00Z,15.0,80.1, , 
asani_2022,2022-05-12T12:00:00Z,15.0,80.2, , 
asani_2022,2022-05-12T15:00:00Z,14.8,80.2, , 
asani_2022,2022-05-12T18:00:00Z,14.7,80.3, , 
asani_2022,2022-05-12T21:00:00Z,14.7,80.6, , 
asani_2022,2022-05-13T00:00:00Z,14.7,81.0, , 
asani_2022,2022-05-13T03:00:00Z,14.7,81.3, , 
asani_2022,2022-05-13T06:00:00Z,14.8,81.5, , 
