event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
chapala_2015,2015-10-27T12:00:00Z,10.7,65.1, , 
chapala_2015,2015-10-27T15:00:00Z,10.9,65.0, , 
chapala_2015,2015-10-27T18:00:00Z,11.1,64.9, , 
chapala_2015,2015-10-27T21:00:00Z,11.3,64.8, , 
chapala_2015,2015-10-28T00:00:00Z,11.6,64.7, , 
chapala_2015,2015-10-28T03:00:00Z,11.5,65.0,25,1005
chapala_2015,2015-10-28T06:00:00Z,11.8,64.9,25,1004
chapala_2015,2015-10-28T09:00:00Z,12.2,64.8, , 
chapala_2015,2015-10-28T12:00:00Z,12.5,64.7,30,1001
chapala_2015,2015-10-28T15:00:00Z,12.7,64.7, , 
chapala_2015,2015-10-28T18:00:00Z,13.0,64.7,30,1001
chapala_2015,2015-10-28T21:00:00Z,13.4,64.5, , 
chapala_2015,2015-10-29T00:00:00Z,13.7,64.3,35,999
chapala_2015,2015-10-29T03:00:00Z,13.8,64.2,40,997
chapala_2015,2015-10-29T06:00:00Z,13.9,63.8,45,996
chapala_2015,2015-10-29T09:00:00Z,14.0,63.5,50,994
chapala_2015,2015-10-29T12:00:00Z,14.1,63.3,55,990
chapala_2015,2015-10-29T15:00:00Z,14.3,62.8,60,988
chapala_2015,2015-10-29T18:00:00Z,14.3,62.5,65,984
chapala_2015,2015-10-29T21:00:00Z,14.3,62.3,75,976
chapala_2015,2015-10-30T00:00:00Z,14.3,61.8,90,966
chapala_2015,2015-10-30T03:00:00Z,14.3,61.5,105,954
chapala_2015,2015-10-30T06:00:00Z,14.3,61.1,110,948
chapala_2015,2015-10-30T09:00:00Z,14.2,60.8,115,940
chapala_2015,2015-10-30T12:00:00Z,14.1,60.6,115,940
chapala_2015,2015-10-30T15:00:00Z,14.0,60.4,115,940
chapala_2015,2015-10-30T18:00:00Z,13.9,60.2,115,940
chapala_2015,2015-10-30T21:00:00Z,13.9,59.9,115,942
chapala_2015,2015-10-31T00:00:00Z,13.9,59.6,110,944
chapala_2015,2015-10-31T03:00:00Z,13.8,59.2,110,946
chapala_2015,2015-10-31T06:00:00Z,13.8,58.7,105,950
chapala_2015,2015-10-31T09:00:00Z,13.8,58.3,105,950
chapala_2015,2015-10-31T12:00:00Z,13.8,57.9,105,950
chapala_2015,2015-10-31T15:00:00Z,13.8,57.5,105,950
chapala_2015,2015-10-31T18:00:00Z,13.8,57.2,105,950
chapala_2015,2015-10-31T21:00:00Z,13.7,56.8,105,950
chapala_2015,2015-11-01T00:00:00Z,13.7,56.4,105,950
chapala_2015,2015-11-01T03:00:00Z,13.6,56.1,105,952
chapala_2015,2015-11-01T06:00:00Z,13.6,55.6,100,954
chapala_2015,2015-11-01T09:00:00Z,13.6,55.1,100,956
chapala_2015,2015-11-01T12:00:00Z,13.6,54.6,100,956
chapala_2015,2015-11-01T15:00:00Z,13.6,54.2,100,956
chapala_2015,2015-11-01T18:00:00Z,13.4,53.7,100,956
chapala_2015,2015-11-01T21:00:00Z,13.3,53.1,100,956
chapala_2015,2015-11-02T00:00:00Z,13.2,52.5,100,958
chapala_2015,2015-11-02T03:00:00Z,13.2,52.2,95,960
chapala_2015,2015-11-02T06:00:00Z,13.3,51.6,90,964
chapala_2015,2015-11-02T09:00:00Z,13.3,51.0,90,966
chapala_2015,2015-11-02T12:00:00Z,13.4,50.5,85,968
chapala_2015,2015-11-02T15:00:00Z,13.5,50.0,85,970
chapala_2015,2015-11-02T18:00:00Z,13.7,49.6,80,974
chapala_2015,2015-11-02T21:00:00Z,13.8,49.3,75,978
chapala_2015,2015-11-03T00:00:00Z,14.0,48.8,65,984
chapala_2015,2015-11-03T03:00:00Z,14.2,48.4,55,990
chapala_2015,2015-11-03T06:00:00Z,14.2,47.8,45,996
chapala_2015,2015-11-03T09:00:00Z,14.2,47.6,40,998
chapala_2015,2015-11-03T12:00:00Z,14.2,47.3,40,998
chapala_2015,2015-11-03T15:00:00Z,14.2,47.1,40,998
chapala_2015,2015-11-03T18:00:00Z,14.3,47.0,30,1001
chapala_2015,2015-11-03T21:00:00Z,14.5,46.8, , 
chapala_2015,2015-11-04T00:00:00Z,14.8,46.5,25,1003
