event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
daye_2018,2018-09-19T15:00:00Z,17.2,89.0,25,997
daye_2018,2018-09-19T18:00:00Z,17.4,88.8,25,996
daye_2018,2018-09-19T21:00:00Z,17.5,88.2, , 
daye_2018,2018-09-20T00:00:00Z,17.5,87.5,25,996
daye_2018,2018-09-20T03:00:00Z,17.5,87.0,30,995
daye_2018,2018-09-20T06:00:00Z,17.6,86.8,30,995
daye_2018,2018-09-20T09:00:00Z,18.0,86.3, , 
daye_2018,2018-09-20T12:00:00Z,18.4,85.8,30,994
daye_2018,2018-09-20T15:00:00Z,18.7,85.6,35,992
daye_2018,2018-09-20T18:00:00Z,19.2,85.0,35,992
daye_2018,2018-09-20T21:00:00Z,19.6,84.4,35,993
daye_2018,2018-09-21T00:00:00Z,20.0,83.7,30,994
daye_2018,2018-09-21T03:00:00Z,20.5,82.5,30,994
daye_2018,2018-09-21T06:00:00Z,21.0,81.4,30,995
daye_2018,2018-09-21T09:00:00Z,21.3,80.7, , 
daye_2018,2018-09-21T12:00:00Z,21.4,80.2,25,996
daye_2018,2018-09-21T15:00:00Z,21.4,79.5, , 
daye_2018,2018-09-21T18:00:00Z,21.4,78.7,25,996
daye_2018,2018-09-21T21:00:00Z,21.8,77.8, , 
daye_2018,2018-09-22T00:00:00Z,22.3,76.9,25,997
daye_2018,2018-09-22T03:00:00Z,22.9,76.3,20,998
daye_2018,2018-09-22T06:00:00Z,22.9,76.3,20,999
