event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
gaja_2018,2018-11-10T03:00:00Z,11.7,92.5,25,1003
gaja_2018,2018-11-10T06:00:00Z,12.0,92.0,25,1002
gaja_2018,2018-11-10T09:00:00Z,12.3,91.4, , 
gaja_2018,2018-11-10T12:00:00Z,12.6,90.8,30,1001
gaja_2018,2018-11-10T15:00:00Z,12.8,90.3, , 
gaja_2018,2018-11-10T18:00:00Z,13.0,89.9,30,1000
gaja_2018,2018-11-10T21:00:00Z,13.2,89.6, , 
gaja_2018,2018-11-11T00:00:00Z,13.4,89.3,35,999
gaja_2018,2018-11-11T03:00:00Z,13.5,88.9,35,999
gaja_2018,2018-11-11T06:00:00Z,13.5,88.5,40,998
gaja_2018,2018-11-11T09:00:00Z,13.5,88.2,40,998
gaja_2018,2018-11-11T12:00:00Z,13.5,88.0,40,998
gaja_2018,2018-11-11T15:00:00Z,13.5,87.7,40,998
gaja_2018,2018-11-11T18:00:00Z,13.4,87.4,40,998
gaja_2018,2018-11-11T21:00:00Z,13.5,87.2,40,998
gaja_2018,2018-11-12T00:00:00Z,13.3,87.1,40,998
gaja_2018,2018-11-12T03:00:00Z,13.1,87.0,40,998
gaja_2018,2018-11-12T06:00:00Z,12.9,86.9,40,998
gaja_2018,2018-11-12T09:00:00Z,12.9,86.9,40,998
gaja_2018,2018-11-12T12:00:00Z,12.6,87.3,40,998
gaja_2018,2018-11-12T15:00:00Z,12.9,87.5,40,998
gaja_2018,2018-11-12T18:00:00Z,13.2,87.5,45,996
gaja_2018,2018-11-12T21:00:00Z,13.2,87.3,45,996
gaja_2018,2018-11-13T00:00:00Z,13.2,87.2,40,998
gaja_2018,2018-11-13T03:00:00Z,13.3,87.1,40,998
gaja_2018,2018-11-13T06:00:00Z,13.5,86.6,40,998
gaja_2018,2018-11-13T09:00:00Z,13.4,86.4,40,998
gaja_2018,2018-11-13T12:00:00Z,13.4,86.0,40,998
gaja_2018,2018-11-13T15:00:00Z,13.2,85.8,40,998
gaja_2018,2018-11-13T18:00:00Z,13.2,85.6,40,998
gaja_2018,2018-11-13T21:00:00Z,13.1,85.5,40,998
gaja_2018,2018-11-14T00:00:00Z,13.1,85.3,40,998
gaja_2018,2018-11-14T03:00:00Z,13.0,85.1,40,998
gaja_2018,2018-11-14T06:00:00Z,12.8,84.8,45,996
gaja_2018,2018-11-14T09:00:00Z,12.6,84.6,45,996
gaja_2018,2018-11-14T12:00:00Z,12.4,84.2,45,996
gaja_2018,2018-11-14T15:00:00Z,12.2,84.2,45,996
gaja_2018,2018-11-14T18:00:00Z,12.0,83.8,45,996
gaja_2018,2018-11-14T21:00:00Z,11.8,83.4,45,996
gaja_2018,2018-11-15T00:00:00Z,11.5,83.2,45,996
gaja_2018,2018-11-15T03:00:00Z,11.3,82.6,50,994
gaja_2018,2018-11-15T06:00:00Z,11.2,82.0,55,990
gaja_2018,2018-11-15T09:00:00Z,11.0,81.5,55,989
gaja_2018,2018-11-15T12:00:00Z,10.8,81.2,60,988
gaja_2018,2018-11-15T15:00:00Z,10.6,80.7,65,984
gaja_2018,2018-11-15T18:00:00Z,10.5,80.3,70,976
gaja_2018,2018-11-15T21:00:00Z,10.4,79.7,70,976
gaja_2018,2018-11-16T00:00:00Z,10.4,79.2,55,990
gaja_2018,2018-11-16T03:00:00Z,10.4,78.5,45,996
gaja_2018,2018-11-16T06:00:00Z,10.5,77.6,30,1000
gaja_2018,2018-11-16T09:00:00Z,10.3,76.9, , 
gaja_2018,2018-11-16T12:00:00Z,10.1,76.4,25,1002
gaja_2018,2018-11-16T15:00:00Z,10.0,75.8, , 
gaja_2018,2018-11-16T18:00:00Z,9.9,75.3,25,1002
gaja_2018,2018-11-16T21:00:00Z,9.8,74.8, , 
gaja_2018,2018-11-17T00:00:00Z,9.8,74.3,30,1003
gaja_2018,2018-11-17T03:00:00Z,9.8,73.7,30,1003
gaja_2018,2018-11-17T06:00:00Z,9.8,73.2,30,1003
gaja_2018,2018-11-17T09:00:00Z,9.8,72.5, , 
gaja_2018,2018-11-17T12:00:00Z,9.9,71.7,30,1003
gaja_2018,2018-11-17T15:00:00Z,10.0,71.1, , 
gaja_2018,2018-11-17T18:00:00Z,10.1,70.5,30,1003
gaja_2018,2018-11-17T21:00:00Z,10.2,70.0, , 
gaja_2018,2018-11-18T00:00:00Z,10.3,69.6,30,1003
gaja_2018,2018-11-18T03:00:00Z,10.4,69.4,30,1003
gaja_2018,2018-11-18T06:00:00Z,10.5,69.0,30,1003
gaja_2018,2018-11-18T09:00:00Z,10.6,68.8, , 
gaja_2018,2018-11-18T12:00:00Z,10.7,68.5,30,1003
gaja_2018,2018-11-18T15:00:00Z,10.8,68.0, , 
gaja_2018,2018-11-18T18:00:00Z,10.8,67.5,30,1003
gaja_2018,2018-11-18T21:00:00Z,10.9,67.0, , 
gaja_2018,2018-11-19T00:00:00Z,11.0,66.6,30,1003
gaja_2018,2018-11-19T03:00:00Z,11.1,66.3,30,1003
gaja_2018,2018-11-19T06:00:00Z,11.2,65.8,25,1004
gaja_2018,2018-11-19T09:00:00Z,11.2,65.4, , 
gaja_2018,2018-11-19T12:00:00Z,11.2,65.0,25,1004
