event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
gati_2020,2020-11-20T12:00:00Z,11.2,62.6, , 
gati_2020,2020-11-20T15:00:00Z,11.0,62.2, , 
gati_2020,2020-11-20T18:00:00Z,10.9,61.7, , 
gati_2020,2020-11-20T21:00:00Z,11.1,61.2, , 
gati_2020,2020-11-21T00:00:00Z,11.3,60.6, , 
gati_2020,2020-11-21T03:00:00Z,11.3,59.7, , 
gati_2020,2020-11-21T06:00:00Z,11.3,58.8, , 
gati_2020,2020-11-21T09:00:00Z,11.3,57.9, , 
gati_2020,2020-11-21T12:00:00Z,11.3,57.1, , 
gati_2020,2020-11-21T15:00:00Z,11.1,56.2, , 
gati_2020,2020-11-21T18:00:00Z,11.2,57.4,25,1000
gati_2020,2020-11-21T21:00:00Z,11.2,56.6, , 
gati_2020,2020-11-22T00:00:00Z,11.1,55.4,30,998
gati_2020,2020-11-22T03:00:00Z,10.7,53.8,40,996
gati_2020,2020-11-22T06:00:00Z,10.4,52.7,50,992
gati_2020,2020-11-22T09:00:00Z,10.4,52.0,65,982
gati_2020,2020-11-22T12:00:00Z,10.4,51.5,75,976
gati_2020,2020-11-22T15:00:00Z,10.4,51.0,75,976
gati_2020,2020-11-22T18:00:00Z,10.4,50.5,65,982
gati_2020,2020-11-22T21:00:00Z,10.4,50.1,60,986
gati_2020,2020-11-23T00:00:00Z,10.5,50.0,45,994
gati_2020,2020-11-23T03:00:00Z,10.7,49.7,35,997
gati_2020,2020-11-23T06:00:00Z,10.9,49.2,30,998
gati_2020,2020-11-23T09:00:00Z,11.1,48.8, , 
gati_2020,2020-11-23T12:00:00Z,11.3,48.5,30,999
gati_2020,2020-11-23T15:00:00Z,11.5,48.0, , 
gati_2020,2020-11-23T18:00:00Z,11.7,47.5,30,1000
gati_2020,2020-11-23T21:00:00Z,11.7,47.2, , 
gati_2020,2020-11-24T00:00:00Z,11.6,47.0,25,1001
gati_2020,2020-11-24T03:00:00Z,11.6,46.8,20,1002
gati_2020,2020-11-24T06:00:00Z,10.9,46.5, , 
gati_2020,2020-11-24T09:00:00Z,10.7,46.4, , 
gati_2020,2020-11-24T12:00:00Z,10.4,46.3, , 
