event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
helen_2013,2013-11-18T00:00:00Z,13.3,90.0, , 
helen_2013,2013-11-18T03:00:00Z,13.6,89.5, , 
helen_2013,2013-11-18T06:00:00Z,14.0,88.9, , 
helen_2013,2013-11-18T09:00:00Z,14.4,88.3, , 
helen_2013,2013-11-18T12:00:00Z,14.7,87.8, , 
helen_2013,2013-11-18T15:00:00Z,14.8,87.3, , 
helen_2013,2013-11-18T18:00:00Z,14.8,86.9, , 
helen_2013,2013-11-18T21:00:00Z,14.8,86.5, , 
helen_2013,2013-11-19T00:00:00Z,14.5,86.5,25,1004
helen_2013,2013-11-19T03:00:00Z,14.5,86.0,25,1004
helen_2013,2013-11-19T06:00:00Z,14.5,85.5,25,1004
helen_2013,2013-11-19T09:00:00Z,14.7,85.2, , 
helen_2013,2013-11-19T12:00:00Z,15.0,85.0,25,1004
helen_2013,2013-11-19T15:00:00Z,15.0,85.0,30,1002
helen_2013,2013-11-19T18:00:00Z,15.0,84.5,30,1002
helen_2013,2013-11-19T21:00:00Z,15.0,84.2, , 
helen_2013,2013-11-20T00:00:00Z,15.0,84.0,30,1002
helen_2013,2013-11-20T03:00:00Z,15.0,84.0,35,1000
helen_2013,2013-11-20T06:00:00Z,15.2,84.0,40,1000
helen_2013,2013-11-20T09:00:00Z,15.2,84.0,40,1000
helen_2013,2013-11-20T12:00:00Z,15.3,83.9,45,998
helen_2013,2013-11-20T15:00:00Z,15.3,83.9,45,998
helen_2013,2013-11-20T18:00:00Z,15.4,83.7,45,996
helen_2013,2013-11-20T21:00:00Z,15.5,83.6,45,996
helen_2013,2013-11-21T00:00:00Z,15.6,83.5,50,994
helen_2013,2013-11-21T03:00:00Z,15.8,83.4,50,992
helen_2013,2013-11-21T06:00:00Z,15.9,83.3,55,990
helen_2013,2013-11-21T09:00:00Z,16.0,83.1,55,990
helen_2013,2013-11-21T12:00:00Z,16.1,82.9,55,990
helen_2013,2013-11-21T15:00:00Z,16.1,82.7,55,990
helen_2013,2013-11-21T18:00:00Z,16.2,82.7,55,990
helen_2013,2013-11-21T21:00:00Z,16.2,82.3,55,990
helen_2013,2013-11-22T00:00:00Z,16.2,81.9,55,990
helen_2013,2013-11-22T03:00:00Z,16.2,81.7,55,990
helen_2013,2013-11-22T06:00:00Z,16.2,81.3,55,990
helen_2013,2013-11-22T09:00:00Z,16.1,81.2,40,1000
helen_2013,2013-11-22T12:00:00Z,15.9,80.7,30,1002
helen_2013,2013-11-22T15:00:00Z,15.8,80.4, , 
helen_2013,2013-11-22T18:00:00Z,15.9,80.4,25,1004
helen_2013,2013-11-22T21:00:00Z,16.3,79.7, , 
helen_2013,2013-11-23T00:00:00Z,16.5,79.4, , 
helen_2013,2013-11-23T03:00:00Z,16.8,79.1, , 
helen_2013,2013-11-23T06:00:00Z,17.2,78.8, , 
