event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
jal_2010,2010-10-31T18:00:00Z,6.3,104.5, , 
jal_2010,2010-10-31T21:00:00Z,6.1,104.0, , 
jal_2010,2010-11-01T00:00:00Z,6.0,103.5, , 
jal_2010,2010-11-01T03:00:00Z,6.2,103.0, , 
jal_2010,2010-11-01T06:00:00Z,6.5,102.6, , 
jal_2010,2010-11-01T09:00:00Z,6.8,102.2, , 
jal_2010,2010-11-01T12:00:00Z,7.1,101.7, , 
jal_2010,2010-11-01T15:00:00Z,7.4,101.3, , 
jal_2010,2010-11-01T18:00:00Z,7.6,100.7, , 
jal_2010,2010-11-01T21:00:00Z,7.6,99.8, , 
jal_2010,2010-11-02T00:00:00Z,7.7,98.9, , 
jal_2010,2010-11-02T03:00:00Z,8.1,98.3, , 
jal_2010,2010-11-02T06:00:00Z,8.4,97.9, , 
jal_2010,2010-11-02T09:00:00Z,8.4,97.4, , 
jal_2010,2010-11-02T12:00:00Z,8.3,96.9, , 
jal_2010,2010-11-02T15:00:00Z,8.3,96.4, , 
jal_2010,2010-11-02T18:00:00Z,8.3,95.9, , 
jal_2010,2010-11-02T21:00:00Z,8.3,95.4, , 
jal_2010,2010-11-03T00:00:00Z,8.3,94.9, , 
jal_2010,2010-11-03T03:00:00Z,8.3,94.4, , 
jal_2010,2010-11-03T06:00:00Z,8.3,94.0, , 
jal_2010,2010-11-03T09:00:00Z,8.3,93.6, , 
jal_2010,2010-11-03T12:00:00Z,8.3,93.2, , 
jal_2010,2010-11-03T15:00:00Z,8.3,92.8, , 
jal_2010,2010-11-03T18:00:00Z,8.4,92.3, , 
jal_2010,2010-11-03T21:00:00Z,8.4,91.9, , 
jal_2010,2010-11-04T00:00:00Z,8.0,92.0,25,1002
jal_2010,2010-11-04T03:00:00Z,8.5,91.0,25,1002
jal_2010,2010-11-04T06:00:00Z,8.5,90.5,25,1002
jal_2010,2010-11-04T09:00:00Z,8.5,90.2, , 
jal_2010,2010-11-04T12:00:00Z,8.5,90.0,25,1002
jal_2010,2010-11-04T15:00:00Z,8.5,89.8, , 
jal_2010,2010-11-04T18:00:00Z,8.5,89.5,25,1002
jal_2010,2010-11-04T21:00:00Z,8.8,89.0, , 
jal_2010,2010-11-05T00:00:00Z,9.0,88.5,30,1000
jal_2010,2010-11-05T03:00:00Z,9.0,88.0,30,1000
jal_2010,2010-11-05T06:00:00Z,9.0,87.5,35,998
jal_2010,2010-11-05T09:00:00Z,9.0,87.5,40,996
jal_2010,2010-11-05T12:00:00Z,9.5,87.0,45,994
jal_2010,2010-11-05T15:00:00Z,9.5,87.0,45,994
jal_2010,2010-11-05T18:00:00Z,10.0,86.5,50,992
jal_2010,2010-11-05T21:00:00Z,10.0,86.0,55,990
jal_2010,2010-11-06T00:00:00Z,10.0,85.5,55,990
jal_2010,2010-11-06T03:00:00Z,10.0,85.5,55,990
jal_2010,2010-11-06T06:00:00Z,10.0,85.0,55,990
jal_2010,2010-11-06T09:00:00Z,10.0,85.0,55,990
jal_2010,2010-11-06T12:00:00Z,11.0,84.5,60,988
jal_2010,2010-11-06T15:00:00Z,11.0,84.5,60,988
jal_2010,2010-11-06T18:00:00Z,11.0,84.0,60,988
jal_2010,2010-11-06T21:00:00Z,11.0,84.0,60,988
jal_2010,2010-11-07T00:00:00Z,11.0,83.5,60,988
jal_2010,2010-11-07T03:00:00Z,12.0,83.0,55,990
jal_2010,2010-11-07T06:00:00Z,12.0,82.5,45,992
jal_2010,2010-11-07T09:00:00Z,12.0,81.5,40,994
jal_2010,2010-11-07T12:00:00Z,13.0,81.0,30,996
jal_2010,2010-11-07T15:00:00Z,13.0,80.5,30,998
jal_2010,2010-11-07T18:00:00Z,13.0,80.0,30,1000
jal_2010,2010-11-07T21:00:00Z,13.3,79.6, , 
jal_2010,2010-11-08T00:00:00Z,14.0,79.0,25,1002
jal_2010,2010-11-08T03:00:00Z,15.0,78.0,25,1004
