event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
komen_2015,2015-07-26T00:00:00Z,22.0,90.8,20,994
komen_2015,2015-07-26T03:00:00Z,22.0,90.8,20,994
komen_2015,2015-07-26T06:00:00Z,22.0,90.5,20,994
komen_2015,2015-07-26T09:00:00Z,22.0,90.4, , 
komen_2015,2015-07-26T12:00:00Z,22.0,90.5,20,994
komen_2015,2015-07-26T15:00:00Z,22.0,90.5, , 
komen_2015,2015-07-26T18:00:00Z,22.0,90.5,20,994
komen_2015,2015-07-26T21:00:00Z,22.0,90.5, , 
komen_2015,2015-07-27T00:00:00Z,22.0,90.5,20,994
komen_2015,2015-07-27T03:00:00Z,22.0,90.5,25,994
komen_2015,2015-07-27T06:00:00Z,22.0,90.5,25,994
komen_2015,2015-07-27T09:00:00Z,22.0,90.5, , 
komen_2015,2015-07-27T12:00:00Z,22.0,90.5,25,994
komen_2015,2015-07-27T15:00:00Z,22.0,90.5, , 
komen_2015,2015-07-27T18:00:00Z,22.0,90.5,25,994
komen_2015,2015-07-27T21:00:00Z,22.0,90.5, , 
komen_2015,2015-07-28T00:00:00Z,22.0,90.5,25,994
komen_2015,2015-07-28T03:00:00Z,22.0,90.5,25,994
komen_2015,2015-07-28T06:00:00Z,21.8,90.3,25,994
komen_2015,2015-07-28T09:00:00Z,21.6,90.2, , 
komen_2015,2015-07-28T12:00:00Z,21.5,90.2,25,994
komen_2015,2015-07-28T15:00:00Z,21.4,90.4, , 
komen_2015,2015-07-28T18:00:00Z,21.3,90.6,25,992
komen_2015,2015-07-28T21:00:00Z,21.1,90.8, , 
komen_2015,2015-07-29T00:00:00Z,21.0,91.0,30,990
komen_2015,2015-07-29T03:00:00Z,21.1,91.0,30,990
komen_2015,2015-07-29T06:00:00Z,21.2,91.1,30,990
komen_2015,2015-07-29T09:00:00Z,21.4,91.3, , 
komen_2015,2015-07-29T12:00:00Z,21.5,91.4,30,988
komen_2015,2015-07-29T15:00:00Z,21.6,91.4, , 
komen_2015,2015-07-29T18:00:00Z,21.6,91.4,35,986
komen_2015,2015-07-29T21:00:00Z,21.6,91.4, , 
komen_2015,2015-07-30T00:00:00Z,21.7,91.4,35,986
komen_2015,2015-07-30T03:00:00Z,22.0,91.4,35,986
komen_2015,2015-07-30T06:00:00Z,22.2,91.4,40,986
komen_2015,2015-07-30T09:00:00Z,22.3,91.4,40,986
komen_2015,2015-07-30T12:00:00Z,22.4,91.4,35,988
komen_2015,2015-07-30T15:00:00Z,22.6,91.3,35,988
komen_2015,2015-07-30T18:00:00Z,22.8,91.1,35,988
komen_2015,2015-07-30T21:00:00Z,23.0,91.0,30,988
komen_2015,2015-07-31T00:00:00Z,23.1,90.0,30,990
komen_2015,2015-07-31T03:00:00Z,23.1,90.0,30,990
komen_2015,2015-07-31T06:00:00Z,23.1,89.8,30,992
komen_2015,2015-07-31T09:00:00Z,23.1,89.6, , 
komen_2015,2015-07-31T12:00:00Z,23.1,89.5,25,994
komen_2015,2015-07-31T15:00:00Z,23.1,89.4, , 
komen_2015,2015-07-31T18:00:00Z,23.1,89.4,25,994
komen_2015,2015-07-31T21:00:00Z,23.2,89.3, , 
komen_2015,2015-08-01T00:00:00Z,23.2,89.2,20,994
komen_2015,2015-08-01T03:00:00Z,23.2,89.2,20,994
komen_2015,2015-08-01T06:00:00Z,23.5,88.8,20,994
komen_2015,2015-08-01T09:00:00Z,23.7,88.6, , 
komen_2015,2015-08-01T12:00:00Z,23.8,88.4,20,994
komen_2015,2015-08-01T15:00:00Z,23.8,88.0, , 
komen_2015,2015-08-01T18:00:00Z,23.8,87.5,20,994
komen_2015,2015-08-01T21:00:00Z,23.9,87.2, , 
komen_2015,2015-08-02T00:00:00Z,23.8,86.7,20,996
komen_2015,2015-08-02T03:00:00Z,23.5,86.0,20,996
komen_2015,2015-08-02T06:00:00Z,23.3,85.7,20,996
komen_2015,2015-08-02T09:00:00Z,23.1,85.5,20,996
