event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
kyant_2016,2016-10-21T00:00:00Z,13.5,88.5,25,1003
kyant_2016,2016-10-21T03:00:00Z,13.6,88.8,25,1003
kyant_2016,2016-10-21T06:00:00Z,13.7,89.3,25,1003
kyant_2016,2016-10-21T09:00:00Z,13.8,89.6, , 
kyant_2016,2016-10-21T12:00:00Z,13.9,89.8,25,1003
kyant_2016,2016-10-21T15:00:00Z,13.9,89.9, , 
kyant_2016,2016-10-21T18:00:00Z,13.9,89.9,25,1003
kyant_2016,2016-10-21T21:00:00Z,13.9,89.9, , 
kyant_2016,2016-10-22T00:00:00Z,13.9,90.0,25,1002
kyant_2016,2016-10-22T03:00:00Z,14.0,90.5,25,1002
kyant_2016,2016-10-22T06:00:00Z,14.5,91.3,25,1002
kyant_2016,2016-10-22T09:00:00Z,14.8,91.8, , 
kyant_2016,2016-10-22T12:00:00Z,14.9,92.0,25,1002
kyant_2016,2016-10-22T15:00:00Z,15.1,92.3, , 
kyant_2016,2016-10-22T18:00:00Z,15.2,92.5,25,1002
kyant_2016,2016-10-22T21:00:00Z,15.4,92.8, , 
kyant_2016,2016-10-23T00:00:00Z,15.5,93.0,25,1002
kyant_2016,2016-10-23T03:00:00Z,15.5,93.0,30,1000
kyant_2016,2016-10-23T06:00:00Z,15.5,93.0,30,1000
kyant_2016,2016-10-23T09:00:00Z,15.6,93.0, , 
kyant_2016,2016-10-23T12:00:00Z,15.7,93.1,30,1000
kyant_2016,2016-10-23T15:00:00Z,15.8,93.2, , 
kyant_2016,2016-10-23T18:00:00Z,16.0,93.2,30,1000
kyant_2016,2016-10-23T21:00:00Z,16.2,93.2, , 
kyant_2016,2016-10-24T00:00:00Z,16.4,93.2,30,1000
kyant_2016,2016-10-24T03:00:00Z,16.4,93.2,30,1000
kyant_2016,2016-10-24T06:00:00Z,16.5,93.1,30,1000
kyant_2016,2016-10-24T09:00:00Z,16.6,92.9, , 
kyant_2016,2016-10-24T12:00:00Z,16.7,92.7,30,1000
kyant_2016,2016-10-24T15:00:00Z,16.8,92.5, , 
kyant_2016,2016-10-24T18:00:00Z,16.8,92.3,30,1000
kyant_2016,2016-10-24T21:00:00Z,16.8,92.1, , 
kyant_2016,2016-10-25T00:00:00Z,16.9,91.7,30,1000
kyant_2016,2016-10-25T03:00:00Z,17.0,91.2,35,998
kyant_2016,2016-10-25T06:00:00Z,17.0,90.9,35,998
kyant_2016,2016-10-25T09:00:00Z,16.8,90.6,35,998
kyant_2016,2016-10-25T12:00:00Z,16.9,90.5,35,998
kyant_2016,2016-10-25T15:00:00Z,16.7,90.2,35,998
kyant_2016,2016-10-25T18:00:00Z,16.7,89.8,35,998
kyant_2016,2016-10-25T21:00:00Z,16.5,89.6,35,997
kyant_2016,2016-10-26T00:00:00Z,16.6,89.0,40,996
kyant_2016,2016-10-26T03:00:00Z,16.6,88.5,40,996
kyant_2016,2016-10-26T06:00:00Z,16.5,88.0,40,996
kyant_2016,2016-10-26T09:00:00Z,16.4,87.5,40,996
kyant_2016,2016-10-26T12:00:00Z,16.3,87.0,40,996
kyant_2016,2016-10-26T15:00:00Z,16.2,86.6,40,997
kyant_2016,2016-10-26T18:00:00Z,16.1,86.4,35,998
kyant_2016,2016-10-26T21:00:00Z,15.9,85.9,30,1000
kyant_2016,2016-10-27T00:00:00Z,15.7,85.5,30,1002
kyant_2016,2016-10-27T03:00:00Z,15.6,85.0,30,1002
kyant_2016,2016-10-27T06:00:00Z,15.6,84.5,30,1003
kyant_2016,2016-10-27T09:00:00Z,15.6,84.0, , 
kyant_2016,2016-10-27T12:00:00Z,15.5,83.5,30,1004
kyant_2016,2016-10-27T15:00:00Z,15.4,83.2, , 
kyant_2016,2016-10-27T18:00:00Z,15.4,83.0,25,1004
kyant_2016,2016-10-27T21:00:00Z,15.2,82.8, , 
kyant_2016,2016-10-28T00:00:00Z,15.1,82.6, , 
kyant_2016,2016-10-28T03:00:00Z,15.0,82.4, , 
kyant_2016,2016-10-28T06:00:00Z,14.9,82.1, , 
kyant_2016,2016-10-28T09:00:00Z,14.8,81.9, , 
kyant_2016,2016-10-28T12:00:00Z,14.6,81.7, , 
kyant_2016,2016-10-28T15:00:00Z,14.4,81.5, , 
kyant_2016,2016-10-28T18:00:00Z,14.3,81.3, , 
kyant_2016,2016-10-28T21:00:00Z,14.2,81.2, , 
kyant_2016,2016-10-29T00:00:00Z,14.2,81.2, , 
kyant_2016,2016-10-29T03:00:00Z,14.1,81.1, , 
kyant_2016,2016-10-29T06:00:00Z,14.0,81.0, , 
