event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
laila_2010,2010-05-16T18:00:00Z,9.8,90.4, , 
laila_2010,2010-05-16T21:00:00Z,10.2,90.1, , 
laila_2010,2010-05-17T00:00:00Z,10.5,89.7, , 
laila_2010,2010-05-17T03:00:00Z,10.7,89.3, , 
laila_2010,2010-05-17T06:00:00Z,10.5,88.5,25,1004
laila_2010,2010-05-17T09:00:00Z,10.7,88.2, , 
laila_2010,2010-05-17T12:00:00Z,11.0,88.0,30,1000
laila_2010,2010-05-17T15:00:00Z,11.3,87.8, , 
laila_2010,2010-05-17T18:00:00Z,11.5,87.5,30,998
laila_2010,2010-05-17T21:00:00Z,11.4,87.1, , 
laila_2010,2010-05-18T00:00:00Z,11.5,86.5,35,998
laila_2010,2010-05-18T03:00:00Z,12.0,85.5,40,996
laila_2010,2010-05-18T06:00:00Z,12.5,84.5,45,992
laila_2010,2010-05-18T09:00:00Z,13.0,84.0,45,992
laila_2010,2010-05-18T12:00:00Z,13.0,83.5,45,990
laila_2010,2010-05-18T15:00:00Z,13.0,83.0,45,990
laila_2010,2010-05-18T18:00:00Z,13.0,82.5,45,990
laila_2010,2010-05-18T21:00:00Z,13.0,82.0,45,990
laila_2010,2010-05-19T00:00:00Z,13.5,82.0,45,990
laila_2010,2010-05-19T03:00:00Z,13.5,82.0,45,990
laila_2010,2010-05-19T06:00:00Z,13.5,81.5,55,986
laila_2010,2010-05-19T09:00:00Z,14.0,81.5,55,986
laila_2010,2010-05-19T12:00:00Z,14.0,81.5,55,986
laila_2010,2010-05-19T15:00:00Z,14.0,81.5,55,986
laila_2010,2010-05-19T18:00:00Z,14.5,81.0,55,986
laila_2010,2010-05-19T21:00:00Z,14.5,81.0,55,986
laila_2010,2010-05-20T00:00:00Z,15.0,81.0,55,986
laila_2010,2010-05-20T03:00:00Z,15.5,80.5,55,986
laila_2010,2010-05-20T06:00:00Z,15.7,80.5,55,986
laila_2010,2010-05-20T09:00:00Z,15.8,80.5,55,986
laila_2010,2010-05-20T12:00:00Z,16.0,80.5,45,990
laila_2010,2010-05-20T15:00:00Z,16.0,80.5,45,990
laila_2010,2010-05-20T18:00:00Z,16.0,80.5,45,990
laila_2010,2010-05-20T21:00:00Z,16.0,80.7,40,990
laila_2010,2010-05-21T00:00:00Z,16.2,80.8,35,990
laila_2010,2010-05-21T03:00:00Z,16.5,81.0,30,995
laila_2010,2010-05-21T06:00:00Z,17.0,81.5,20,999
laila_2010,2010-05-21T09:00:00Z,16.8,81.3, , 
laila_2010,2010-05-21T12:00:00Z,16.9,81.5, , 
laila_2010,2010-05-21T15:00:00Z,17.0,81.7, , 
laila_2010,2010-05-21T18:00:00Z,17.1,81.9, , 
