event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
lehar_2013,2013-11-19T18:00:00Z,7.3,103.3, , 
lehar_2013,2013-11-19T21:00:00Z,7.0,103.2, , 
lehar_2013,2013-11-20T00:00:00Z,6.8,103.1, , 
lehar_2013,2013-11-20T03:00:00Z,6.8,102.9, , 
lehar_2013,2013-11-20T06:00:00Z,6.9,102.6, , 
lehar_2013,2013-11-20T09:00:00Z,6.7,102.4, , 
lehar_2013,2013-11-20T12:00:00Z,6.5,102.3, , 
lehar_2013,2013-11-20T15:00:00Z,6.4,102.2, , 
lehar_2013,2013-11-20T18:00:00Z,6.3,102.0, , 
lehar_2013,2013-11-20T21:00:00Z,6.3,101.9, , 
lehar_2013,2013-11-21T00:00:00Z,6.3,101.7, , 
lehar_2013,2013-11-21T03:00:00Z,6.3,101.5, , 
lehar_2013,2013-11-21T06:00:00Z,6.4,101.2, , 
lehar_2013,2013-11-21T09:00:00Z,6.6,100.9, , 
lehar_2013,2013-11-21T12:00:00Z,6.7,100.6, , 
lehar_2013,2013-11-21T15:00:00Z,6.7,100.2, , 
lehar_2013,2013-11-21T18:00:00Z,6.7,99.9, , 
lehar_2013,2013-11-21T21:00:00Z,6.7,99.6, , 
lehar_2013,2013-11-22T00:00:00Z,6.6,99.4, , 
lehar_2013,2013-11-22T03:00:00Z,6.4,99.2, , 
lehar_2013,2013-11-22T06:00:00Z,6.3,99.0, , 
lehar_2013,2013-11-22T09:00:00Z,6.2,98.7, , 
lehar_2013,2013-11-22T12:00:00Z,6.3,98.5, , 
lehar_2013,2013-11-22T15:00:00Z,6.5,98.4, , 
lehar_2013,2013-11-22T18:00:00Z,6.8,98.3, , 
lehar_2013,2013-11-22T21:00:00Z,7.0,98.1, , 
lehar_2013,2013-11-23T00:00:00Z,7.3,97.8, , 
lehar_2013,2013-11-23T03:00:00Z,7.6,97.5, , 
lehar_2013,2013-11-23T06:00:00Z,8.0,97.2, , 
lehar_2013,2013-11-23T09:00:00Z,8.3,96.9, , 
lehar_2013,2013-11-23T12:00:00Z,8.5,96.5,25,1004
lehar_2013,2013-11-23T15:00:00Z,8.7,96.3, , 
lehar_2013,2013-11-23T18:00:00Z,9.0,96.0,30,1002
lehar_2013,2013-11-23T21:00:00Z,9.6,95.4, , 
lehar_2013,2013-11-24T00:00:00Z,10.0,95.0,35,999
lehar_2013,2013-11-24T03:00:00Z,10.0,95.0,40,998
lehar_2013,2013-11-24T06:00:00Z,10.5,94.5,40,998
lehar_2013,2013-11-24T09:00:00Z,10.7,94.0,45,996
lehar_2013,2013-11-24T12:00:00Z,11.0,93.5,45,996
lehar_2013,2013-11-24T15:00:00Z,11.0,93.5,45,996
lehar_2013,2013-11-24T18:00:00Z,11.5,93.0,45,996
lehar_2013,2013-11-24T21:00:00Z,11.5,92.5,45,996
lehar_2013,2013-11-25T00:00:00Z,12.0,92.5,55,992
lehar_2013,2013-11-25T03:00:00Z,12.0,92.0,55,990
lehar_2013,2013-11-25T06:00:00Z,12.0,91.5,55,988
lehar_2013,2013-11-25T09:00:00Z,12.0,91.5,60,988
lehar_2013,2013-11-25T12:00:00Z,12.5,91.5,60,988
lehar_2013,2013-11-25T15:00:00Z,12.5,91.0,60,988
lehar_2013,2013-11-25T18:00:00Z,12.5,91.0,55,988
lehar_2013,2013-11-25T21:00:00Z,12.5,91.0,65,984
lehar_2013,2013-11-26T00:00:00Z,12.5,90.5,70,982
lehar_2013,2013-11-26T03:00:00Z,12.5,90.0,70,982
lehar_2013,2013-11-26T06:00:00Z,12.5,89.5,70,982
lehar_2013,2013-11-26T09:00:00Z,13.0,89.0,70,982
lehar_2013,2013-11-26T12:00:00Z,13.0,88.5,70,982
lehar_2013,2013-11-26T15:00:00Z,13.0,88.5,70,982
lehar_2013,2013-11-26T18:00:00Z,13.1,88.0,75,980
lehar_2013,2013-11-26T21:00:00Z,13.2,87.5,75,980
lehar_2013,2013-11-27T00:00:00Z,13.5,87.0,75,980
lehar_2013,2013-11-27T03:00:00Z,13.5,86.5,75,980
lehar_2013,2013-11-27T06:00:00Z,14.0,86.0,70,982
lehar_2013,2013-11-27T09:00:00Z,14.0,85.5,65,984
lehar_2013,2013-11-27T12:00:00Z,14.5,85.0,55,988
lehar_2013,2013-11-27T15:00:00Z,14.5,84.5,55,988
lehar_2013,2013-11-27T18:00:00Z,15.0,84.0,45,996
lehar_2013,2013-11-27T21:00:00Z,15.0,83.5,40,998
lehar_2013,2013-11-28T00:00:00Z,15.5,82.0,30,1000
lehar_2013,2013-11-28T03:00:00Z,15.7,81.7,30,1000
lehar_2013,2013-11-28T06:00:00Z,15.7,81.3,30,1000
lehar_2013,2013-11-28T09:00:00Z,15.9,81.0,25,1002
lehar_2013,2013-11-28T12:00:00Z,16.0,80.8,20,1004
lehar_2013,2013-11-28T15:00:00Z,15.4,80.6, , 
lehar_2013,2013-11-28T18:00:00Z,15.4,80.0, , 
lehar_2013,2013-11-28T21:00:00Z,15.7,79.4, , 
lehar_2013,2013-11-29T00:00:00Z,16.1,78.8, , 
