event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
mandous_2022,2022-12-04T00:00:00Z,5.3,99.7, , 
mandous_2022,2022-12-04T03:00:00Z,5.5,99.4, , 
mandous_2022,2022-12-04T06:00:00Z,5.7,99.0, , 
mandous_2022,2022-12-04T09:00:00Z,5.9,98.5, , 
mandous_2022,2022-12-04T12:00:00Z,6.1,98.1, , 
mandous_2022,2022-12-04T15:00:00Z,6.3,97.9, , 
mandous_2022,2022-12-04T18:00:00Z,6.6,97.7, , 
mandous_2022,2022-12-04T21:00:00Z,6.9,97.5, , 
mandous_2022,2022-12-05T00:00:00Z,7.2,97.2, , 
mandous_2022,2022-12-05T03:00:00Z,7.3,96.5, , 
mandous_2022,2022-12-05T06:00:00Z,7.3,95.7, , 
mandous_2022,2022-12-05T09:00:00Z,7.4,95.0, , 
mandous_2022,2022-12-05T12:00:00Z,7.5,94.1, , 
mandous_2022,2022-12-05T15:00:00Z,7.8,92.8, , 
mandous_2022,2022-12-05T18:00:00Z,8.0,91.6, , 
mandous_2022,2022-12-05T21:00:00Z,8.0,90.8, , 
mandous_2022,2022-12-06T00:00:00Z,8.0,90.2, , 
mandous_2022,2022-12-06T03:00:00Z,8.0,89.5, , 
mandous_2022,2022-12-06T06:00:00Z,8.1,88.7, , 
mandous_2022,2022-12-06T09:00:00Z,8.3,87.8, , 
mandous_2022,2022-12-06T12:00:00Z,8.2,88.2,25,1000
mandous_2022,2022-12-06T15:00:00Z,8.3,87.5, , 
mandous_2022,2022-12-06T18:00:00Z,8.4,87.0,25,1000
mandous_2022,2022-12-06T21:00:00Z,8.5,86.7, , 
mandous_2022,2022-12-07T00:00:00Z,8.6,86.3,30,999
mandous_2022,2022-12-07T03:00:00Z,8.7,85.7,30,999
mandous_2022,2022-12-07T06:00:00Z,8.7,85.5,30,998
mandous_2022,2022-12-07T09:00:00Z,8.8,85.3, , 
mandous_2022,2022-12-07T12:00:00Z,8.9,85.0,30,998
mandous_2022,2022-12-07T15:00:00Z,9.1,84.8, , 
mandous_2022,2022-12-07T18:00:00Z,9.2,84.6,35,997
mandous_2022,2022-12-07T21:00:00Z,9.3,84.4,35,997
mandous_2022,2022-12-08T00:00:00Z,9.4,84.1,40,995
mandous_2022,2022-12-08T03:00:00Z,9.5,83.8,40,994
mandous_2022,2022-12-08T06:00:00Z,9.7,83.5,45,992
mandous_2022,2022-12-08T09:00:00Z,9.8,83.2,45,992
mandous_2022,2022-12-08T12:00:00Z,10.1,82.9,50,990
mandous_2022,2022-12-08T15:00:00Z,10.4,82.6,50,990
mandous_2022,2022-12-08T18:00:00Z,10.6,82.3,50,990
mandous_2022,2022-12-08T21:00:00Z,10.7,82.0,50,990
mandous_2022,2022-12-09T00:00:00Z,11.0,81.7,50,990
mandous_2022,2022-12-09T03:00:00Z,11.1,81.5,45,991
mandous_2022,2022-12-09T06:00:00Z,11.4,81.3,45,992
mandous_2022,2022-12-09T09:00:00Z,11.7,81.0,45,992
mandous_2022,2022-12-09T12:00:00Z,12.0,80.8,40,993
mandous_2022,2022-12-09T15:00:00Z,12.2,80.6,40,994
mandous_2022,2022-12-09T18:00:00Z,12.5,80.3,35,995
mandous_2022,2022-12-09T21:00:00Z,12.8,80.0,35,996
mandous_2022,2022-12-10T00:00:00Z,12.9,79.7,30,998
mandous_2022,2022-12-10T03:00:00Z,12.8,79.5,30,1000
mandous_2022,2022-12-10T06:00:00Z,12.7,79.3,25,1002
mandous_2022,2022-12-10T09:00:00Z,12.9,79.1, , 
mandous_2022,2022-12-10T12:00:00Z,12.9,78.8, , 
