event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
michaung_2023,2023-11-30T06:00:00Z,7.5,88.0, , 
michaung_2023,2023-11-30T09:00:00Z,7.9,87.6, , 
michaung_2023,2023-11-30T12:00:00Z,8.2,87.2, , 
michaung_2023,2023-11-30T15:00:00Z,8.3,86.8, , 
michaung_2023,2023-11-30T18:00:00Z,8.4,86.4, , 
michaung_2023,2023-11-30T21:00:00Z,8.5,86.0, , 
michaung_2023,2023-12-01T00:00:00Z,9.1,86.4,20,1002
michaung_2023,2023-12-01T03:00:00Z,9.3,86.2,20,1002
michaung_2023,2023-12-01T06:00:00Z,9.5,86.0,25,1002
michaung_2023,2023-12-01T09:00:00Z,9.8,85.9, , 
michaung_2023,2023-12-01T12:00:00Z,10.0,85.7,25,1001
michaung_2023,2023-12-01T15:00:00Z,10.2,85.5, , 
michaung_2023,2023-12-01T18:00:00Z,10.3,85.1,25,1000
michaung_2023,2023-12-01T21:00:00Z,10.4,84.6, , 
michaung_2023,2023-12-02T00:00:00Z,10.5,84.1,30,998
michaung_2023,2023-12-02T03:00:00Z,10.6,83.6,30,997
michaung_2023,2023-12-02T06:00:00Z,10.7,83.2,30,997
michaung_2023,2023-12-02T09:00:00Z,10.8,83.1, , 
michaung_2023,2023-12-02T12:00:00Z,10.9,83.1,30,997
michaung_2023,2023-12-02T15:00:00Z,11.0,82.9, , 
michaung_2023,2023-12-02T18:00:00Z,11.1,82.7,30,996
michaung_2023,2023-12-02T21:00:00Z,11.3,82.6, , 
michaung_2023,2023-12-03T00:00:00Z,11.4,82.5,35,995
michaung_2023,2023-12-03T03:00:00Z,11.5,82.4,35,995
michaung_2023,2023-12-03T06:00:00Z,11.8,82.2,35,995
michaung_2023,2023-12-03T09:00:00Z,12.0,82.1,35,995
michaung_2023,2023-12-03T12:00:00Z,12.2,82.0,35,995
michaung_2023,2023-12-03T15:00:00Z,12.4,81.9,40,994
michaung_2023,2023-12-03T18:00:00Z,12.8,81.6,45,992
michaung_2023,2023-12-03T21:00:00Z,13.0,81.4,45,992
michaung_2023,2023-12-04T00:00:00Z,13.1,81.2,45,992
michaung_2023,2023-12-04T03:00:00Z,13.3,81.0,50,988
michaung_2023,2023-12-04T06:00:00Z,13.5,80.8,50,988
michaung_2023,2023-12-04T09:00:00Z,13.7,80.7,50,988
michaung_2023,2023-12-04T12:00:00Z,14.0,80.5,55,986
michaung_2023,2023-12-04T15:00:00Z,14.3,80.4,55,986
michaung_2023,2023-12-04T18:00:00Z,14.5,80.3,55,986
michaung_2023,2023-12-04T21:00:00Z,14.7,80.2,55,986
michaung_2023,2023-12-05T00:00:00Z,14.9,80.2,50,988
michaung_2023,2023-12-05T03:00:00Z,15.2,80.2,50,988
michaung_2023,2023-12-05T06:00:00Z,15.5,80.3,50,988
michaung_2023,2023-12-05T09:00:00Z,15.8,80.3,50,990
michaung_2023,2023-12-05T12:00:00Z,16.0,80.3,40,996
michaung_2023,2023-12-05T15:00:00Z,16.4,80.4,35,998
michaung_2023,2023-12-05T18:00:00Z,16.8,80.4,30,1000
michaung_2023,2023-12-05T21:00:00Z,17.1,80.4, , 
michaung_2023,2023-12-06T00:00:00Z,17.4,80.5,20,1004
michaung_2023,2023-12-06T03:00:00Z,17.7,80.8, , 
michaung_2023,2023-12-06T06:00:00Z,18.3,81.1, , 
