event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
mocha_2023,2023-05-08T18:00:00Z,7.7,91.4, , 
mocha_2023,2023-05-08T21:00:00Z,7.6,91.1, , 
mocha_2023,2023-05-09T00:00:00Z,7.6,90.7, , 
mocha_2023,2023-05-09T03:00:00Z,7.6,90.1, , 
mocha_2023,2023-05-09T06:00:00Z,7.6,89.6, , 
mocha_2023,2023-05-09T09:00:00Z,7.7,89.3, , 
mocha_2023,2023-05-09T12:00:00Z,8.3,89.5,25,1002
mocha_2023,2023-05-09T15:00:00Z,8.4,89.4, , 
mocha_2023,2023-05-09T18:00:00Z,8.5,89.3,25,1002
mocha_2023,2023-05-09T21:00:00Z,8.5,89.1, , 
mocha_2023,2023-05-10T00:00:00Z,8.5,89.0,30,1000
mocha_2023,2023-05-10T03:00:00Z,8.8,88.9,30,1000
mocha_2023,2023-05-10T06:00:00Z,9.1,88.7,30,999
mocha_2023,2023-05-10T09:00:00Z,9.5,88.5, , 
mocha_2023,2023-05-10T12:00:00Z,10.0,88.4,30,998
mocha_2023,2023-05-10T15:00:00Z,10.4,88.3, , 
mocha_2023,2023-05-10T18:00:00Z,10.8,88.2,30,998
mocha_2023,2023-05-10T21:00:00Z,11.0,88.2, , 
mocha_2023,2023-05-11T00:00:00Z,11.2,88.1,35,997
mocha_2023,2023-05-11T03:00:00Z,11.4,88.0,35,996
mocha_2023,2023-05-11T06:00:00Z,11.6,88.0,45,996
mocha_2023,2023-05-11T09:00:00Z,11.8,88.0,45,996
mocha_2023,2023-05-11T12:00:00Z,12.2,88.0,50,994
mocha_2023,2023-05-11T15:00:00Z,12.5,88.1,50,992
mocha_2023,2023-05-11T18:00:00Z,12.7,88.1,50,992
mocha_2023,2023-05-11T21:00:00Z,12.9,88.1,60,986
mocha_2023,2023-05-12T00:00:00Z,13.2,88.1,65,982
mocha_2023,2023-05-12T03:00:00Z,13.6,88.2,65,982
mocha_2023,2023-05-12T06:00:00Z,14.0,88.3,75,974
mocha_2023,2023-05-12T09:00:00Z,14.3,88.4,85,970
mocha_2023,2023-05-12T12:00:00Z,14.6,88.6,85,970
mocha_2023,2023-05-12T15:00:00Z,14.8,88.7,90,964
mocha_2023,2023-05-12T18:00:00Z,15.1,88.8,100,954
mocha_2023,2023-05-12T21:00:00Z,15.2,88.9,100,954
mocha_2023,2023-05-13T00:00:00Z,15.4,89.1,100,954
mocha_2023,2023-05-13T03:00:00Z,15.7,89.5,100,954
mocha_2023,2023-05-13T06:00:00Z,16.0,90.0,105,950
mocha_2023,2023-05-13T09:00:00Z,16.4,90.3,105,950
mocha_2023,2023-05-13T12:00:00Z,16.9,90.8,110,944
mocha_2023,2023-05-13T15:00:00Z,17.4,90.9,110,944
mocha_2023,2023-05-13T18:00:00Z,17.9,91.0,115,938
mocha_2023,2023-05-13T21:00:00Z,18.3,91.3,115,938
mocha_2023,2023-05-14T00:00:00Z,18.7,91.5,115,938
mocha_2023,2023-05-14T03:00:00Z,19.3,91.9,110,944
mocha_2023,2023-05-14T06:00:00Z,19.9,92.5,100,952
mocha_2023,2023-05-14T09:00:00Z,20.5,92.9,90,964
mocha_2023,2023-05-14T12:00:00Z,21.1,93.3,75,974
mocha_2023,2023-05-14T15:00:00Z,21.8,93.8,60,984
mocha_2023,2023-05-14T18:00:00Z,22.7,94.6,50,992
mocha_2023,2023-05-14T21:00:00Z,23.5,95.3,35,996
mocha_2023,2023-05-15T00:00:00Z,23.9,97.8,25,1000
