event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
mora_2017,2017-05-27T06:00:00Z,13.9,87.4, , 
mora_2017,2017-05-27T09:00:00Z,13.8,87.9, , 
mora_2017,2017-05-27T12:00:00Z,13.8,88.4, , 
mora_2017,2017-05-27T15:00:00Z,13.8,88.8, , 
mora_2017,2017-05-27T18:00:00Z,13.9,89.2, , 
mora_2017,2017-05-27T21:00:00Z,14.0,89.6, , 
mora_2017,2017-05-28T00:00:00Z,14.0,88.5,25,998
mora_2017,2017-05-28T03:00:00Z,14.5,89.5,25,998
mora_2017,2017-05-28T06:00:00Z,15.0,90.0,25,997
mora_2017,2017-05-28T09:00:00Z,15.4,90.5,30,996
mora_2017,2017-05-28T12:00:00Z,15.7,90.7,30,995
mora_2017,2017-05-28T15:00:00Z,16.0,91.0,35,994
mora_2017,2017-05-28T18:00:00Z,16.3,91.2,35,994
mora_2017,2017-05-28T21:00:00Z,16.6,91.3,40,992
mora_2017,2017-05-29T00:00:00Z,17.0,91.3,45,990
mora_2017,2017-05-29T03:00:00Z,17.3,91.3,45,990
mora_2017,2017-05-29T06:00:00Z,17.8,91.4,45,988
mora_2017,2017-05-29T09:00:00Z,18.3,91.5,45,986
mora_2017,2017-05-29T12:00:00Z,18.6,91.5,50,984
mora_2017,2017-05-29T15:00:00Z,18.8,91.5,55,980
mora_2017,2017-05-29T18:00:00Z,20.0,91.6,55,980
mora_2017,2017-05-29T21:00:00Z,20.3,91.6,60,978
mora_2017,2017-05-30T00:00:00Z,21.1,91.8,60,978
mora_2017,2017-05-30T03:00:00Z,21.8,91.9,60,978
mora_2017,2017-05-30T06:00:00Z,22.8,91.9,55,982
mora_2017,2017-05-30T09:00:00Z,23.6,92.1,40,988
mora_2017,2017-05-30T12:00:00Z,24.2,92.2,30,990
mora_2017,2017-05-30T15:00:00Z,24.8,92.3, , 
mora_2017,2017-05-30T18:00:00Z,25.3,92.4,20,994
