event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
nada_2016,2016-11-29T12:00:00Z,6.5,87.5,25,1004
nada_2016,2016-11-29T15:00:00Z,6.9,87.1, , 
nada_2016,2016-11-29T18:00:00Z,7.2,86.7,25,1003
nada_2016,2016-11-29T21:00:00Z,7.5,86.2, , 
nada_2016,2016-11-30T00:00:00Z,7.8,85.7,30,1002
nada_2016,2016-11-30T03:00:00Z,8.2,85.3,35,1002
nada_2016,2016-11-30T06:00:00Z,8.7,85.0,35,1002
nada_2016,2016-11-30T09:00:00Z,9.5,84.3,35,1002
nada_2016,2016-11-30T12:00:00Z,9.8,84.0,40,1000
nada_2016,2016-11-30T15:00:00Z,10.0,83.5,40,1000
nada_2016,2016-11-30T18:00:00Z,10.3,83.0,40,1000
nada_2016,2016-11-30T21:00:00Z,10.4,82.0,40,1000
nada_2016,2016-12-01T00:00:00Z,10.4,81.8,35,1000
nada_2016,2016-12-01T03:00:00Z,10.4,81.7,30,1001
nada_2016,2016-12-01T06:00:00Z,10.6,81.2,30,1003
nada_2016,2016-12-01T09:00:00Z,10.7,80.9, , 
nada_2016,2016-12-01T12:00:00Z,10.7,80.7,30,1004
nada_2016,2016-12-01T15:00:00Z,10.8,80.5, , 
nada_2016,2016-12-01T18:00:00Z,10.8,80.2,25,1006
nada_2016,2016-12-01T21:00:00Z,10.8,79.9, , 
nada_2016,2016-12-02T00:00:00Z,10.8,79.7,25,1006
nada_2016,2016-12-02T03:00:00Z,11.0,79.3, , 
nada_2016,2016-12-02T06:00:00Z,11.0,78.9, , 
