event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
nanauk_2014,2014-06-08T06:00:00Z,12.4,68.3, , 
nanauk_2014,2014-06-08T09:00:00Z,12.6,68.1, , 
nanauk_2014,2014-06-08T12:00:00Z,12.8,68.0, , 
nanauk_2014,2014-06-08T15:00:00Z,12.9,67.9, , 
nanauk_2014,2014-06-08T18:00:00Z,13.0,67.8, , 
nanauk_2014,2014-06-08T21:00:00Z,13.1,67.7, , 
nanauk_2014,2014-06-09T00:00:00Z,13.2,67.6, , 
nanauk_2014,2014-06-09T03:00:00Z,13.3,67.6, , 
nanauk_2014,2014-06-09T06:00:00Z,13.4,67.7, , 
nanauk_2014,2014-06-09T09:00:00Z,13.6,68.1, , 
nanauk_2014,2014-06-09T12:00:00Z,13.8,68.5, , 
nanauk_2014,2014-06-09T15:00:00Z,14.1,68.9, , 
nanauk_2014,2014-06-09T18:00:00Z,14.5,69.2, , 
nanauk_2014,2014-06-09T21:00:00Z,14.8,69.2, , 
nanauk_2014,2014-06-10T00:00:00Z,15.1,69.0, , 
nanauk_2014,2014-06-10T03:00:00Z,15.4,68.8, , 
nanauk_2014,2014-06-10T06:00:00Z,15.7,68.6, , 
nanauk_2014,2014-06-10T09:00:00Z,15.5,68.5,25,998
nanauk_2014,2014-06-10T12:00:00Z,16.0,68.0,25,996
nanauk_2014,2014-06-10T15:00:00Z,16.3,67.7, , 
nanauk_2014,2014-06-10T18:00:00Z,16.5,67.5,30,994
nanauk_2014,2014-06-10T21:00:00Z,16.5,67.3, , 
nanauk_2014,2014-06-11T00:00:00Z,16.5,67.2,35,992
nanauk_2014,2014-06-11T03:00:00Z,16.7,67.0,35,992
nanauk_2014,2014-06-11T06:00:00Z,16.9,66.7,45,990
nanauk_2014,2014-06-11T09:00:00Z,17.0,66.5,45,990
nanauk_2014,2014-06-11T12:00:00Z,17.3,66.2,45,988
nanauk_2014,2014-06-11T15:00:00Z,17.5,66.0,45,988
nanauk_2014,2014-06-11T18:00:00Z,17.5,65.8,45,988
nanauk_2014,2014-06-11T21:00:00Z,17.5,65.7,45,988
nanauk_2014,2014-06-12T00:00:00Z,17.8,65.3,45,986
nanauk_2014,2014-06-12T03:00:00Z,18.0,65.0,45,986
nanauk_2014,2014-06-12T06:00:00Z,18.1,64.7,45,986
nanauk_2014,2014-06-12T09:00:00Z,18.3,64.3,45,988
nanauk_2014,2014-06-12T12:00:00Z,18.3,63.9,45,988
nanauk_2014,2014-06-12T15:00:00Z,18.3,63.6,45,988
nanauk_2014,2014-06-12T18:00:00Z,18.3,63.4,45,988
nanauk_2014,2014-06-12T21:00:00Z,18.4,63.3,45,988
nanauk_2014,2014-06-13T00:00:00Z,18.4,62.9,45,988
nanauk_2014,2014-06-13T03:00:00Z,18.7,62.7,45,990
nanauk_2014,2014-06-13T06:00:00Z,19.0,62.6,40,992
nanauk_2014,2014-06-13T09:00:00Z,19.5,62.5,30,994
nanauk_2014,2014-06-13T12:00:00Z,19.8,62.4,25,996
nanauk_2014,2014-06-13T15:00:00Z,19.9,62.2, , 
nanauk_2014,2014-06-13T18:00:00Z,20.0,62.0,25,996
nanauk_2014,2014-06-13T21:00:00Z,20.2,62.0, , 
nanauk_2014,2014-06-14T00:00:00Z,20.5,62.0,25,996
nanauk_2014,2014-06-14T03:00:00Z,21.7,64.6, , 
nanauk_2014,2014-06-14T06:00:00Z,21.7,64.8, , 
nanauk_2014,2014-06-14T09:00:00Z,21.7,65.0, , 
nanauk_2014,2014-06-14T12:00:00Z,21.7,65.2, , 
