event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
nilam_2012,2012-10-27T06:00:00Z,11.1,87.1, , 
nilam_2012,2012-10-27T09:00:00Z,10.9,87.0, , 
nilam_2012,2012-10-27T12:00:00Z,10.7,86.8, , 
nilam_2012,2012-10-27T15:00:00Z,10.4,86.6, , 
nilam_2012,2012-10-27T18:00:00Z,10.2,86.4, , 
nilam_2012,2012-10-27T21:00:00Z,10.1,86.2, , 
nilam_2012,2012-10-28T00:00:00Z,10.0,85.9, , 
nilam_2012,2012-10-28T03:00:00Z,9.9,85.7, , 
nilam_2012,2012-10-28T06:00:00Z,9.5,86.0,25,1004
nilam_2012,2012-10-28T09:00:00Z,9.5,85.5, , 
nilam_2012,2012-10-28T12:00:00Z,9.5,85.0,25,1003
nilam_2012,2012-10-28T15:00:00Z,9.5,84.7, , 
nilam_2012,2012-10-28T18:00:00Z,9.5,84.5,25,1002
nilam_2012,2012-10-28T21:00:00Z,9.5,84.3, , 
nilam_2012,2012-10-29T00:00:00Z,9.5,84.0,30,1000
nilam_2012,2012-10-29T03:00:00Z,9.5,83.5,30,1000
nilam_2012,2012-10-29T06:00:00Z,9.0,83.0,30,1000
nilam_2012,2012-10-29T09:00:00Z,8.9,82.7, , 
nilam_2012,2012-10-29T12:00:00Z,9.0,82.5,30,1000
nilam_2012,2012-10-29T15:00:00Z,9.0,82.2, , 
nilam_2012,2012-10-29T18:00:00Z,9.0,82.0,30,1000
nilam_2012,2012-10-29T21:00:00Z,9.0,82.0, , 
nilam_2012,2012-10-30T00:00:00Z,9.0,82.0,30,999
nilam_2012,2012-10-30T03:00:00Z,9.0,82.0,35,998
nilam_2012,2012-10-30T06:00:00Z,9.0,82.0,35,996
nilam_2012,2012-10-30T09:00:00Z,9.5,82.0,35,996
nilam_2012,2012-10-30T12:00:00Z,9.5,82.0,40,994
nilam_2012,2012-10-30T15:00:00Z,9.5,82.0,40,994
nilam_2012,2012-10-30T18:00:00Z,10.0,82.0,40,992
nilam_2012,2012-10-30T21:00:00Z,10.0,82.0,40,990
nilam_2012,2012-10-31T00:00:00Z,10.5,81.5,45,988
nilam_2012,2012-10-31T03:00:00Z,11.0,81.0,45,987
nilam_2012,2012-10-31T06:00:00Z,11.5,81.0,45,987
nilam_2012,2012-10-31T09:00:00Z,12.3,80.5,45,987
nilam_2012,2012-10-31T12:00:00Z,12.7,79.8,35,991
nilam_2012,2012-10-31T15:00:00Z,13.0,79.5,35,996
nilam_2012,2012-10-31T18:00:00Z,13.0,78.5,30,998
nilam_2012,2012-10-31T21:00:00Z,12.9,77.9, , 
nilam_2012,2012-11-01T00:00:00Z,13.0,77.5,20,999
nilam_2012,2012-11-01T03:00:00Z,13.5,77.0,20,1002
nilam_2012,2012-11-01T06:00:00Z,13.5,77.0,20,1002
nilam_2012,2012-11-01T09:00:00Z,13.7,77.0, , 
nilam_2012,2012-11-01T12:00:00Z,14.0,77.0,20,1002
nilam_2012,2012-11-01T15:00:00Z,14.3,77.0, , 
nilam_2012,2012-11-01T18:00:00Z,14.5,77.0,20,1004
