event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
nilofar_2014,2014-10-23T12:00:00Z,10.8,62.1, , 
nilofar_2014,2014-10-23T15:00:00Z,11.0,61.9, , 
nilofar_2014,2014-10-23T18:00:00Z,11.1,61.8, , 
nilofar_2014,2014-10-23T21:00:00Z,11.2,61.7, , 
nilofar_2014,2014-10-24T00:00:00Z,11.3,61.6, , 
nilofar_2014,2014-10-24T03:00:00Z,11.4,61.5, , 
nilofar_2014,2014-10-24T06:00:00Z,11.6,61.5, , 
nilofar_2014,2014-10-24T09:00:00Z,11.7,61.6, , 
nilofar_2014,2014-10-24T12:00:00Z,11.8,61.7, , 
nilofar_2014,2014-10-24T15:00:00Z,11.9,61.8, , 
nilofar_2014,2014-10-24T18:00:00Z,12.0,62.0, , 
nilofar_2014,2014-10-24T21:00:00Z,12.1,62.2, , 
nilofar_2014,2014-10-25T00:00:00Z,12.5,61.5,25,1004
nilofar_2014,2014-10-25T03:00:00Z,12.5,61.5,25,1004
nilofar_2014,2014-10-25T06:00:00Z,12.5,61.5,25,1004
nilofar_2014,2014-10-25T09:00:00Z,12.7,61.3, , 
nilofar_2014,2014-10-25T12:00:00Z,13.0,61.0,25,1003
nilofar_2014,2014-10-25T15:00:00Z,13.0,60.9, , 
nilofar_2014,2014-10-25T18:00:00Z,13.0,61.0,25,1003
nilofar_2014,2014-10-25T21:00:00Z,13.5,61.5, , 
nilofar_2014,2014-10-26T00:00:00Z,14.0,62.0,25,1002
nilofar_2014,2014-10-26T03:00:00Z,14.0,62.0,30,999
nilofar_2014,2014-10-26T06:00:00Z,14.1,62.0,35,998
nilofar_2014,2014-10-26T09:00:00Z,14.1,62.0,35,996
nilofar_2014,2014-10-26T12:00:00Z,14.2,62.0,40,994
nilofar_2014,2014-10-26T15:00:00Z,14.3,62.0,40,994
nilofar_2014,2014-10-26T18:00:00Z,14.4,62.0,45,994
nilofar_2014,2014-10-26T21:00:00Z,14.5,62.0,50,994
nilofar_2014,2014-10-27T00:00:00Z,14.8,62.0,55,990
nilofar_2014,2014-10-27T03:00:00Z,14.9,62.0,60,990
nilofar_2014,2014-10-27T06:00:00Z,14.9,62.0,65,986
nilofar_2014,2014-10-27T09:00:00Z,14.9,62.0,65,984
nilofar_2014,2014-10-27T12:00:00Z,15.0,62.0,70,982
nilofar_2014,2014-10-27T15:00:00Z,15.1,62.0,70,981
nilofar_2014,2014-10-27T18:00:00Z,15.3,62.0,70,980
nilofar_2014,2014-10-27T21:00:00Z,15.6,61.8,75,979
nilofar_2014,2014-10-28T00:00:00Z,15.7,61.8,75,978
nilofar_2014,2014-10-28T03:00:00Z,15.8,61.7,75,977
nilofar_2014,2014-10-28T06:00:00Z,15.9,61.6,80,974
nilofar_2014,2014-10-28T09:00:00Z,16.3,61.6,90,966
nilofar_2014,2014-10-28T12:00:00Z,16.7,61.8,100,954
nilofar_2014,2014-10-28T15:00:00Z,17.2,61.8,105,952
nilofar_2014,2014-10-28T18:00:00Z,17.6,61.8,110,950
nilofar_2014,2014-10-28T21:00:00Z,18.0,61.8,110,950
nilofar_2014,2014-10-29T00:00:00Z,18.2,62.0,105,954
nilofar_2014,2014-10-29T03:00:00Z,18.7,62.0,100,958
nilofar_2014,2014-10-29T06:00:00Z,18.9,62.0,95,962
nilofar_2014,2014-10-29T09:00:00Z,19.0,62.0,90,968
nilofar_2014,2014-10-29T12:00:00Z,19.2,62.2,80,974
nilofar_2014,2014-10-29T15:00:00Z,19.4,62.5,70,980
nilofar_2014,2014-10-29T18:00:00Z,19.4,62.8,70,986
nilofar_2014,2014-10-29T21:00:00Z,19.4,63.1,60,988
nilofar_2014,2014-10-30T00:00:00Z,19.5,63.6,60,990
nilofar_2014,2014-10-30T03:00:00Z,19.8,64.1,50,994
nilofar_2014,2014-10-30T06:00:00Z,20.2,64.3,45,998
nilofar_2014,2014-10-30T09:00:00Z,20.2,64.5,40,1000
nilofar_2014,2014-10-30T12:00:00Z,20.5,64.6,40,1001
nilofar_2014,2014-10-30T15:00:00Z,20.6,64.6, , 
nilofar_2014,2014-10-30T18:00:00Z,20.6,64.7,35,1002
nilofar_2014,2014-10-30T21:00:00Z,20.7,65.0,30,1003
nilofar_2014,2014-10-31T00:00:00Z,20.7,65.1,25,1004
nilofar_2014,2014-10-31T03:00:00Z,20.8,65.1, , 
nilofar_2014,2014-10-31T06:00:00Z,21.0,65.1, , 
nilofar_2014,2014-10-31T09:00:00Z,21.2,65.1, , 
nilofar_2014,2014-10-31T12:00:00Z,21.4,65.0, , 
nilofar_2014,2014-10-31T15:00:00Z,21.6,64.9, , 
nilofar_2014,2014-10-31T18:00:00Z,21.7,64.7, , 
nilofar_2014,2014-10-31T21:00:00Z,21.7,64.5, , 
nilofar_2014,2014-11-01T00:00:00Z,21.7,64.2, , 
nilofar_2014,2014-11-01T03:00:00Z,21.7,64.0, , 
nilofar_2014,2014-11-01T06:00:00Z,21.7,63.8, , 
nilofar_2014,2014-11-01T09:00:00Z,21.7,63.6, , 
nilofar_2014,2014-11-01T12:00:00Z,21.7,63.3, , 
