event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
nisarga_2020,2020-05-31T18:00:00Z,12.9,72.2, , 
nisarga_2020,2020-05-31T21:00:00Z,12.9,72.0, , 
nisarga_2020,2020-06-01T00:00:00Z,13.0,71.4,25,1004
nisarga_2020,2020-06-01T03:00:00Z,13.2,71.4,25,1004
nisarga_2020,2020-06-01T06:00:00Z,13.7,71.3,25,1004
nisarga_2020,2020-06-01T09:00:00Z,14.0,71.2, , 
nisarga_2020,2020-06-01T12:00:00Z,14.2,71.2,25,1003
nisarga_2020,2020-06-01T15:00:00Z,14.3,71.2, , 
nisarga_2020,2020-06-01T18:00:00Z,14.4,71.2,25,1003
nisarga_2020,2020-06-01T21:00:00Z,14.7,71.2, , 
nisarga_2020,2020-06-02T00:00:00Z,15.0,71.2,30,1000
nisarga_2020,2020-06-02T03:00:00Z,15.3,71.2,30,1000
nisarga_2020,2020-06-02T06:00:00Z,15.6,71.2,35,999
nisarga_2020,2020-06-02T09:00:00Z,16.0,71.2,35,999
nisarga_2020,2020-06-02T12:00:00Z,16.3,71.3,40,996
nisarga_2020,2020-06-02T15:00:00Z,16.0,71.4,40,996
nisarga_2020,2020-06-02T18:00:00Z,16.8,71.6,40,996
nisarga_2020,2020-06-02T21:00:00Z,17.1,71.8,45,994
nisarga_2020,2020-06-03T00:00:00Z,17.3,72.1,50,992
nisarga_2020,2020-06-03T03:00:00Z,17.6,72.3,55,988
nisarga_2020,2020-06-03T06:00:00Z,18.1,72.8,60,984
nisarga_2020,2020-06-03T09:00:00Z,18.5,73.2,55,992
nisarga_2020,2020-06-03T12:00:00Z,19.0,73.7,40,998
nisarga_2020,2020-06-03T15:00:00Z,19.6,74.0,30,1000
nisarga_2020,2020-06-03T18:00:00Z,19.8,74.8,30,1001
nisarga_2020,2020-06-03T21:00:00Z,20.1,75.4, , 
nisarga_2020,2020-06-04T00:00:00Z,20.5,76.0,25,1004
nisarga_2020,2020-06-04T03:00:00Z,21.2,76.9,20,1005
nisarga_2020,2020-06-04T06:00:00Z,21.8,77.6,20,1005
