event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
nivar_2020,2020-11-22T06:00:00Z,7.8,86.1, , 
nivar_2020,2020-11-22T09:00:00Z,8.2,85.9, , 
nivar_2020,2020-11-22T12:00:00Z,8.5,85.6, , 
nivar_2020,2020-11-22T15:00:00Z,8.8,85.3, , 
nivar_2020,2020-11-22T18:00:00Z,9.0,85.1, , 
nivar_2020,2020-11-22T21:00:00Z,8.5,85.3,25,1002
nivar_2020,2020-11-23T00:00:00Z,9.3,84.5,25,1002
nivar_2020,2020-11-23T03:00:00Z,9.5,84.2,25,1002
nivar_2020,2020-11-23T06:00:00Z,9.6,84.0,25,1001
nivar_2020,2020-11-23T09:00:00Z,9.7,83.8, , 
nivar_2020,2020-11-23T12:00:00Z,9.8,83.6,30,999
nivar_2020,2020-11-23T15:00:00Z,9.9,83.4, , 
nivar_2020,2020-11-23T18:00:00Z,10.0,83.3,30,998
nivar_2020,2020-11-23T21:00:00Z,10.0,83.1, , 
nivar_2020,2020-11-24T00:00:00Z,10.0,83.0,35,997
nivar_2020,2020-11-24T03:00:00Z,10.0,83.0,35,997
nivar_2020,2020-11-24T06:00:00Z,10.0,82.7,40,994
nivar_2020,2020-11-24T09:00:00Z,10.0,82.6,45,992
nivar_2020,2020-11-24T12:00:00Z,10.1,82.5,45,992
nivar_2020,2020-11-24T15:00:00Z,10.1,82.4,45,992
nivar_2020,2020-11-24T18:00:00Z,10.2,82.3,50,990
nivar_2020,2020-11-24T21:00:00Z,10.3,82.2,55,988
nivar_2020,2020-11-25T00:00:00Z,10.5,82.0,60,986
nivar_2020,2020-11-25T03:00:00Z,10.7,81.7,60,986
nivar_2020,2020-11-25T06:00:00Z,11.0,81.3,60,986
nivar_2020,2020-11-25T09:00:00Z,11.2,81.0,65,982
nivar_2020,2020-11-25T12:00:00Z,11.4,80.7,65,982
nivar_2020,2020-11-25T15:00:00Z,11.7,80.4,65,982
nivar_2020,2020-11-25T18:00:00Z,12.0,80.1,65,982
nivar_2020,2020-11-25T21:00:00Z,12.1,79.9,60,986
nivar_2020,2020-11-26T00:00:00Z,12.3,79.7,50,992
nivar_2020,2020-11-26T03:00:00Z,12.6,79.4,40,996
nivar_2020,2020-11-26T06:00:00Z,12.9,79.3,35,998
nivar_2020,2020-11-26T09:00:00Z,13.3,79.3,30,999
nivar_2020,2020-11-26T12:00:00Z,13.6,79.4,30,1000
nivar_2020,2020-11-26T15:00:00Z,13.8,79.5, , 
nivar_2020,2020-11-26T18:00:00Z,14.0,79.6,20,1002
nivar_2020,2020-11-26T21:00:00Z,13.8,80.6, , 
nivar_2020,2020-11-27T00:00:00Z,14.0,80.7, , 
nivar_2020,2020-11-27T03:00:00Z,14.2,80.6, , 
nivar_2020,2020-11-27T06:00:00Z,14.4,80.5, , 
nivar_2020,2020-11-27T09:00:00Z,14.7,80.3, , 
nivar_2020,2020-11-27T12:00:00Z,15.0,80.1, , 
