event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
phethai_2018,2018-12-13T00:00:00Z,6.5,88.7,25,1004
phethai_2018,2018-12-13T03:00:00Z,6.7,88.6,25,1004
phethai_2018,2018-12-13T06:00:00Z,6.8,88.5,25,1003
phethai_2018,2018-12-13T09:00:00Z,7.0,88.4, , 
phethai_2018,2018-12-13T12:00:00Z,7.3,88.2,25,1003
phethai_2018,2018-12-13T15:00:00Z,7.4,88.1, , 
phethai_2018,2018-12-13T18:00:00Z,7.6,88.0,30,1002
phethai_2018,2018-12-13T21:00:00Z,7.9,87.8, , 
phethai_2018,2018-12-14T00:00:00Z,8.2,87.6,30,1002
phethai_2018,2018-12-14T03:00:00Z,8.5,87.4,30,1002
phethai_2018,2018-12-14T06:00:00Z,8.5,87.4,30,1002
phethai_2018,2018-12-14T09:00:00Z,8.5,87.2, , 
phethai_2018,2018-12-14T12:00:00Z,8.6,86.8,30,1002
phethai_2018,2018-12-14T15:00:00Z,8.7,86.5, , 
phethai_2018,2018-12-14T18:00:00Z,8.8,86.2,30,1002
phethai_2018,2018-12-14T21:00:00Z,8.9,85.8, , 
phethai_2018,2018-12-15T00:00:00Z,9.0,85.5,30,1002
phethai_2018,2018-12-15T03:00:00Z,9.2,85.2,30,1001
phethai_2018,2018-12-15T06:00:00Z,9.4,85.1,30,1001
phethai_2018,2018-12-15T09:00:00Z,9.8,85.0, , 
phethai_2018,2018-12-15T12:00:00Z,10.3,84.9,35,1000
phethai_2018,2018-12-15T15:00:00Z,10.7,84.7,35,1000
phethai_2018,2018-12-15T18:00:00Z,11.0,84.6,35,1000
phethai_2018,2018-12-15T21:00:00Z,11.1,84.5,35,1000
phethai_2018,2018-12-16T00:00:00Z,11.3,84.3,40,998
phethai_2018,2018-12-16T03:00:00Z,11.8,84.1,45,996
phethai_2018,2018-12-16T06:00:00Z,12.2,83.9,45,996
phethai_2018,2018-12-16T09:00:00Z,12.0,83.6,50,994
phethai_2018,2018-12-16T12:00:00Z,13.3,83.0,55,992
phethai_2018,2018-12-16T15:00:00Z,13.8,82.7,55,992
phethai_2018,2018-12-16T18:00:00Z,14.0,82.5,55,992
phethai_2018,2018-12-16T21:00:00Z,14.5,82.2,55,992
phethai_2018,2018-12-17T00:00:00Z,15.2,82.2,50,994
phethai_2018,2018-12-17T03:00:00Z,15.8,82.2,45,997
phethai_2018,2018-12-17T06:00:00Z,16.2,82.2,45,997
phethai_2018,2018-12-17T09:00:00Z,16.7,82.3,40,998
phethai_2018,2018-12-17T12:00:00Z,16.9,82.4,30,1001
phethai_2018,2018-12-17T15:00:00Z,17.3,82.5,30,1004
phethai_2018,2018-12-17T18:00:00Z,17.5,82.5,25,1006
