event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
roanu_2016,2016-05-17T00:00:00Z,10.0,80.8, , 
roanu_2016,2016-05-17T03:00:00Z,11.0,81.0,25,1000
roanu_2016,2016-05-17T06:00:00Z,11.3,80.9,25,999
roanu_2016,2016-05-17T09:00:00Z,11.7,80.8, , 
roanu_2016,2016-05-17T12:00:00Z,12.0,80.7,25,998
roanu_2016,2016-05-17T15:00:00Z,12.3,80.7, , 
roanu_2016,2016-05-17T18:00:00Z,12.5,80.7,25,998
roanu_2016,2016-05-17T21:00:00Z,12.7,80.7, , 
roanu_2016,2016-05-18T00:00:00Z,13.0,80.8,25,998
roanu_2016,2016-05-18T03:00:00Z,13.3,81.0,30,997
roanu_2016,2016-05-18T06:00:00Z,13.8,81.0,30,996
roanu_2016,2016-05-18T09:00:00Z,14.2,81.0, , 
roanu_2016,2016-05-18T12:00:00Z,14.4,81.0,30,996
roanu_2016,2016-05-18T15:00:00Z,14.4,81.0, , 
roanu_2016,2016-05-18T18:00:00Z,14.4,81.0,30,994
roanu_2016,2016-05-18T21:00:00Z,14.7,81.2, , 
roanu_2016,2016-05-19T00:00:00Z,15.1,81.4,35,990
roanu_2016,2016-05-19T03:00:00Z,15.6,81.6,35,990
roanu_2016,2016-05-19T06:00:00Z,15.6,81.6,40,988
roanu_2016,2016-05-19T09:00:00Z,15.8,81.7, , 
roanu_2016,2016-05-19T12:00:00Z,16.0,81.9,40,988
roanu_2016,2016-05-19T15:00:00Z,16.2,82.2,40,988
roanu_2016,2016-05-19T18:00:00Z,16.4,82.6,40,988
roanu_2016,2016-05-19T21:00:00Z,16.8,82.8,40,988
roanu_2016,2016-05-20T00:00:00Z,17.2,83.3,40,988
roanu_2016,2016-05-20T03:00:00Z,18.0,84.2,40,988
roanu_2016,2016-05-20T06:00:00Z,18.4,84.6,40,988
roanu_2016,2016-05-20T09:00:00Z,18.8,85.0,40,988
roanu_2016,2016-05-20T12:00:00Z,19.7,86.5,40,988
roanu_2016,2016-05-20T15:00:00Z,20.1,87.1,40,986
roanu_2016,2016-05-20T18:00:00Z,20.4,87.7,45,984
roanu_2016,2016-05-20T21:00:00Z,20.7,88.4,45,983
roanu_2016,2016-05-21T00:00:00Z,21.0,89.0,45,983
roanu_2016,2016-05-21T03:00:00Z,21.5,90.3,45,983
roanu_2016,2016-05-21T06:00:00Z,21.9,91.0,45,983
roanu_2016,2016-05-21T09:00:00Z,22.5,91.5,45,983
roanu_2016,2016-05-21T12:00:00Z,22.8,92.0,35,990
roanu_2016,2016-05-21T15:00:00Z,23.5,93.0,30,992
roanu_2016,2016-05-21T18:00:00Z,24.0,94.0,30,994
roanu_2016,2016-05-21T21:00:00Z,24.3,94.5, , 
roanu_2016,2016-05-22T00:00:00Z,24.5,94.7,20,996
