event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
sitrang_2022,2022-10-21T18:00:00Z,12.6,93.3, , 
sitrang_2022,2022-10-21T21:00:00Z,12.9,92.9, , 
sitrang_2022,2022-10-22T00:00:00Z,13.2,92.5, , 
sitrang_2022,2022-10-22T03:00:00Z,12.7,92.4,25,1004
sitrang_2022,2022-10-22T06:00:00Z,13.7,91.3,25,1003
sitrang_2022,2022-10-22T09:00:00Z,14.1,90.7, , 
sitrang_2022,2022-10-22T12:00:00Z,14.2,90.5,25,1002
sitrang_2022,2022-10-22T15:00:00Z,14.6,90.2, , 
sitrang_2022,2022-10-22T18:00:00Z,14.9,89.8,25,1002
sitrang_2022,2022-10-22T21:00:00Z,15.1,89.4, , 
sitrang_2022,2022-10-23T00:00:00Z,15.3,89.0,30,1001
sitrang_2022,2022-10-23T03:00:00Z,15.6,88.4,30,1000
sitrang_2022,2022-10-23T06:00:00Z,15.9,88.2,30,1000
sitrang_2022,2022-10-23T09:00:00Z,16.3,88.1, , 
sitrang_2022,2022-10-23T12:00:00Z,16.7,88.1,35,999
sitrang_2022,2022-10-23T15:00:00Z,17.0,88.2,35,999
sitrang_2022,2022-10-23T18:00:00Z,17.3,88.3,35,998
sitrang_2022,2022-10-23T21:00:00Z,17.5,88.4,40,997
sitrang_2022,2022-10-24T00:00:00Z,18.0,88.6,40,996
sitrang_2022,2022-10-24T03:00:00Z,18.7,88.9,45,996
sitrang_2022,2022-10-24T06:00:00Z,19.3,89.2,45,996
sitrang_2022,2022-10-24T09:00:00Z,19.9,89.7,45,996
sitrang_2022,2022-10-24T12:00:00Z,20.5,89.8,45,996
sitrang_2022,2022-10-24T15:00:00Z,21.4,90.2,45,996
sitrang_2022,2022-10-24T18:00:00Z,23.5,90.8,40,996
sitrang_2022,2022-10-24T21:00:00Z,24.3,91.0,30,998
sitrang_2022,2022-10-25T00:00:00Z,24.5,91.1,25,1000
