event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
tauktae2_2021,2021-11-30T18:00:00Z,8.4,96.3, , 
tauktae2_2021,2021-11-30T21:00:00Z,8.0,96.1, , 
tauktae2_2021,2021-12-01T00:00:00Z,7.8,95.7, , 
tauktae2_2021,2021-12-01T03:00:00Z,7.8,94.9, , 
tauktae2_2021,2021-12-01T06:00:00Z,8.0,94.0, , 
tauktae2_2021,2021-12-01T09:00:00Z,8.1,93.4, , 
tauktae2_2021,2021-12-01T12:00:00Z,8.2,92.9, , 
tauktae2_2021,2021-12-01T15:00:00Z,8.5,92.3, , 
tauktae2_2021,2021-12-01T18:00:00Z,8.9,91.8, , 
tauktae2_2021,2021-12-01T21:00:00Z,9.2,91.3, , 
tauktae2_2021,2021-12-02T00:00:00Z,9.6,90.8, , 
tauktae2_2021,2021-12-02T03:00:00Z,10.0,90.1, , 
tauktae2_2021,2021-12-02T06:00:00Z,10.5,89.3, , 
tauktae2_2021,2021-12-02T09:00:00Z,11.0,88.7, , 
tauktae2_2021,2021-12-02T12:00:00Z,11.0,89.0,25,1004
tauktae2_2021,2021-12-02T15:00:00Z,11.5,88.2, , 
tauktae2_2021,2021-12-02T18:00:00Z,12.0,87.5,25,1004
tauktae2_2021,2021-12-02T21:00:00Z,12.7,86.9, , 
tauktae2_2021,2021-12-03T00:00:00Z,13.4,86.4,30,1002
tauktae2_2021,2021-12-03T03:00:00Z,14.0,86.0,30,1002
tauktae2_2021,2021-12-03T06:00:00Z,14.5,85.6,35,1001
tauktae2_2021,2021-12-03T09:00:00Z,15.0,85.3,35,1001
tauktae2_2021,2021-12-03T12:00:00Z,15.5,85.0,40,1000
tauktae2_2021,2021-12-03T15:00:00Z,15.7,85.0,40,1000
tauktae2_2021,2021-12-03T18:00:00Z,15.9,84.8,40,1000
tauktae2_2021,2021-12-03T21:00:00Z,16.0,84.9,40,1000
tauktae2_2021,2021-12-04T00:00:00Z,16.2,84.7,40,1000
tauktae2_2021,2021-12-04T03:00:00Z,16.3,84.7,40,1000
tauktae2_2021,2021-12-04T06:00:00Z,16.4,84.7,35,1001
tauktae2_2021,2021-12-04T09:00:00Z,16.5,84.7,35,1001
tauktae2_2021,2021-12-04T12:00:00Z,16.9,84.8,30,1002
tauktae2_2021,2021-12-04T15:00:00Z,17.2,84.9, , 
tauktae2_2021,2021-12-04T18:00:00Z,17.5,85.0,30,1002
tauktae2_2021,2021-12-04T21:00:00Z,17.6,85.2, , 
tauktae2_2021,2021-12-05T00:00:00Z,17.9,85.5,30,1002
tauktae2_2021,2021-12-05T03:00:00Z,18.7,85.7,30,1003
tauktae2_2021,2021-12-05T06:00:00Z,19.1,85.9,30,1003
tauktae2_2021,2021-12-05T09:00:00Z,19.5,86.2,25,1004
tauktae2_2021,2021-12-05T12:00:00Z,20.1,86.9,25,1004
tauktae2_2021,2021-12-05T15:00:00Z,20.5,87.3, , 
tauktae2_2021,2021-12-05T18:00:00Z,20.6,87.3,25,1004
tauktae2_2021,2021-12-05T21:00:00Z,21.2,87.4, , 
tauktae2_2021,2021-12-06T00:00:00Z,21.5,87.7, , 
tauktae2_2021,2021-12-06T03:00:00Z,21.9,88.1, , 
tauktae2_2021,2021-12-06T06:00:00Z,22.3,88.5, , 
