event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
thane_2011,2011-12-25T12:00:00Z,8.5,88.5,25,1000
thane_2011,2011-12-25T15:00:00Z,8.7,88.3, , 
thane_2011,2011-12-25T18:00:00Z,9.0,88.0,25,1000
thane_2011,2011-12-25T21:00:00Z,9.3,87.7, , 
thane_2011,2011-12-26T00:00:00Z,9.5,87.5,30,998
thane_2011,2011-12-26T03:00:00Z,9.5,87.5,30,998
thane_2011,2011-12-26T06:00:00Z,10.0,87.5,30,998
thane_2011,2011-12-26T09:00:00Z,10.3,87.5, , 
thane_2011,2011-12-26T12:00:00Z,10.5,87.5,30,998
thane_2011,2011-12-26T15:00:00Z,10.8,87.5, , 
thane_2011,2011-12-26T18:00:00Z,11.0,87.5,35,996
thane_2011,2011-12-26T21:00:00Z,11.0,87.5,35,996
thane_2011,2011-12-27T00:00:00Z,11.5,87.5,40,994
thane_2011,2011-12-27T03:00:00Z,12.0,87.0,40,994
thane_2011,2011-12-27T06:00:00Z,12.0,87.0,40,994
thane_2011,2011-12-27T09:00:00Z,12.2,86.7,40,992
thane_2011,2011-12-27T12:00:00Z,12.5,86.5,40,992
thane_2011,2011-12-27T15:00:00Z,12.5,86.5,45,992
thane_2011,2011-12-27T18:00:00Z,12.5,86.0,45,992
thane_2011,2011-12-27T21:00:00Z,12.5,86.0,45,992
thane_2011,2011-12-28T00:00:00Z,12.5,85.5,45,992
thane_2011,2011-12-28T03:00:00Z,12.5,85.5,45,987
thane_2011,2011-12-28T06:00:00Z,12.5,85.0,45,988
thane_2011,2011-12-28T09:00:00Z,12.5,85.0,55,986
thane_2011,2011-12-28T12:00:00Z,12.5,84.5,65,982
thane_2011,2011-12-28T15:00:00Z,12.5,84.0,65,980
thane_2011,2011-12-28T18:00:00Z,12.5,84.0,65,978
thane_2011,2011-12-28T21:00:00Z,12.5,83.5,65,976
thane_2011,2011-12-29T00:00:00Z,12.3,83.0,70,974
thane_2011,2011-12-29T03:00:00Z,12.0,82.5,75,976
thane_2011,2011-12-29T06:00:00Z,12.0,82.0,75,972
thane_2011,2011-12-29T09:00:00Z,12.0,81.7,75,972
thane_2011,2011-12-29T12:00:00Z,12.0,81.3,75,972
thane_2011,2011-12-29T15:00:00Z,12.0,81.0,75,970
thane_2011,2011-12-29T18:00:00Z,11.8,80.6,75,970
thane_2011,2011-12-29T21:00:00Z,11.8,80.3,75,969
thane_2011,2011-12-30T00:00:00Z,11.6,79.9,75,969
thane_2011,2011-12-30T03:00:00Z,11.6,79.5,55,986
thane_2011,2011-12-30T06:00:00Z,11.6,79.0,30,998
thane_2011,2011-12-30T09:00:00Z,11.6,78.6, , 
thane_2011,2011-12-30T12:00:00Z,11.6,78.2,25,1000
