event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
titli_2018,2018-10-08T00:00:00Z,14.2,88.4, , 
titli_2018,2018-10-08T03:00:00Z,14.0,88.8,25,1002
titli_2018,2018-10-08T06:00:00Z,14.0,88.8,25,1002
titli_2018,2018-10-08T09:00:00Z,14.1,88.6, , 
titli_2018,2018-10-08T12:00:00Z,14.3,88.2,25,1002
titli_2018,2018-10-08T15:00:00Z,14.4,87.9, , 
titli_2018,2018-10-08T18:00:00Z,14.5,87.6,30,1000
titli_2018,2018-10-08T21:00:00Z,14.6,87.3, , 
titli_2018,2018-10-09T00:00:00Z,14.7,87.1,30,1000
titli_2018,2018-10-09T03:00:00Z,14.7,86.9,30,999
titli_2018,2018-10-09T06:00:00Z,14.8,86.7,35,998
titli_2018,2018-10-09T09:00:00Z,14.9,86.6,35,997
titli_2018,2018-10-09T12:00:00Z,15.1,86.4,40,996
titli_2018,2018-10-09T15:00:00Z,15.3,86.2,40,995
titli_2018,2018-10-09T18:00:00Z,15.5,86.0,45,996
titli_2018,2018-10-09T21:00:00Z,15.7,85.8,50,994
titli_2018,2018-10-10T00:00:00Z,16.0,85.8,55,990
titli_2018,2018-10-10T03:00:00Z,16.5,85.8,60,988
titli_2018,2018-10-10T06:00:00Z,17.0,85.6,70,982
titli_2018,2018-10-10T09:00:00Z,17.3,85.4,75,976
titli_2018,2018-10-10T12:00:00Z,17.5,85.3,80,972
titli_2018,2018-10-10T15:00:00Z,17.7,85.2,80,972
titli_2018,2018-10-10T18:00:00Z,18.2,85.1,80,972
titli_2018,2018-10-10T21:00:00Z,18.6,84.7,80,972
titli_2018,2018-10-11T00:00:00Z,18.8,84.4,80,972
titli_2018,2018-10-11T03:00:00Z,19.0,84.1,65,985
titli_2018,2018-10-11T06:00:00Z,19.3,83.8,60,988
titli_2018,2018-10-11T09:00:00Z,19.6,83.8,50,994
titli_2018,2018-10-11T12:00:00Z,19.9,83.7,45,996
titli_2018,2018-10-11T15:00:00Z,20.1,84.0,40,998
titli_2018,2018-10-11T18:00:00Z,20.3,84.3,30,999
titli_2018,2018-10-11T21:00:00Z,20.4,84.5, , 
titli_2018,2018-10-12T00:00:00Z,20.5,84.7,30,1000
titli_2018,2018-10-12T03:00:00Z,20.6,84.9,30,1001
titli_2018,2018-10-12T06:00:00Z,20.8,85.2,30,1001
titli_2018,2018-10-12T09:00:00Z,20.9,85.5,25,1002
titli_2018,2018-10-12T12:00:00Z,21.2,86.1,25,1002
titli_2018,2018-10-12T15:00:00Z,21.6,86.7, , 
titli_2018,2018-10-12T18:00:00Z,21.9,87.2,25,1003
titli_2018,2018-10-12T21:00:00Z,22.1,87.5,20,1004
