event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
yaas_2021,2021-05-23T00:00:00Z,15.5,90.0, , 
yaas_2021,2021-05-23T03:00:00Z,15.4,89.9, , 
yaas_2021,2021-05-23T06:00:00Z,16.1,90.2,25,996
yaas_2021,2021-05-23T09:00:00Z,16.1,90.0, , 
yaas_2021,2021-05-23T12:00:00Z,16.2,89.9,25,994
yaas_2021,2021-05-23T15:00:00Z,16.3,89.8, , 
yaas_2021,2021-05-23T18:00:00Z,16.3,89.7,30,992
yaas_2021,2021-05-23T21:00:00Z,16.3,89.7, , 
yaas_2021,2021-05-24T00:00:00Z,16.3,89.7,35,990
yaas_2021,2021-05-24T03:00:00Z,16.5,89.6,40,988
yaas_2021,2021-05-24T06:00:00Z,16.4,89.6,40,988
yaas_2021,2021-05-24T09:00:00Z,16.8,89.5,40,988
yaas_2021,2021-05-24T12:00:00Z,17.1,89.3,45,986
yaas_2021,2021-05-24T15:00:00Z,17.4,89.2,45,986
yaas_2021,2021-05-24T18:00:00Z,17.6,89.0,50,984
yaas_2021,2021-05-24T21:00:00Z,17.8,88.9,55,982
yaas_2021,2021-05-25T00:00:00Z,18.0,88.6,55,980
yaas_2021,2021-05-25T03:00:00Z,18.3,88.3,55,980
yaas_2021,2021-05-25T06:00:00Z,18.7,88.0,60,978
yaas_2021,2021-05-25T09:00:00Z,19.1,88.1,60,978
yaas_2021,2021-05-25T12:00:00Z,19.5,88.0,65,976
yaas_2021,2021-05-25T15:00:00Z,19.8,87.9,65,976
yaas_2021,2021-05-25T18:00:00Z,20.1,87.8,70,974
yaas_2021,2021-05-25T21:00:00Z,20.4,87.6,75,970
yaas_2021,2021-05-26T00:00:00Z,20.8,87.3,75,970
yaas_2021,2021-05-26T03:00:00Z,21.2,87.1,75,970
yaas_2021,2021-05-26T06:00:00Z,21.4,86.9,75,970
yaas_2021,2021-05-26T09:00:00Z,21.6,86.7,55,978
yaas_2021,2021-05-26T12:00:00Z,21.8,86.6,45,984
yaas_2021,2021-05-26T15:00:00Z,22.2,86.2,40,986
yaas_2021,2021-05-26T18:00:00Z,22.5,86.0,30,988
yaas_2021,2021-05-26T21:00:00Z,22.6,85.9, , 
yaas_2021,2021-05-27T00:00:00Z,22.8,85.8,30,988
yaas_2021,2021-05-27T03:00:00Z,23.1,85.7,30,990
yaas_2021,2021-05-27T06:00:00Z,23.5,85.6,25,991
yaas_2021,2021-05-27T09:00:00Z,23.9,85.5, , 
yaas_2021,2021-05-27T12:00:00Z,24.3,85.3,25,992
yaas_2021,2021-05-27T15:00:00Z,24.5,85.1, , 
yaas_2021,2021-05-27T18:00:00Z,24.7,84.8,25,992
